run_idx,algorithm,dataset_size,epsilon,proportions,proportion_key,reset_mode,extra_terminal_steps,seed,status,error,feature_coverage,elapsed_seconds
74,FOGAS,16000,0.7,60% optimal-eps / 40% random,60_40,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),10.722900074998728,18.676496310858056
75,FOGAS,20000,0.7,60% optimal-eps / 40% random,60_40,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),12.733990387045505,22.004872062942013
76,FOGAS,4000,0.0,40% optimal-eps / 60% random,40_60,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),2.8832856791979173,13.23655023588799
77,FOGAS,8000,0.0,40% optimal-eps / 60% random,40_60,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),2.757219647794488,13.448848003987223
78,FOGAS,12000,0.0,40% optimal-eps / 60% random,40_60,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),2.792265681470948,15.10071766609326
79,FOGAS,16000,0.0,40% optimal-eps / 60% random,40_60,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),2.8275504904194237,18.695775541942567
80,FOGAS,20000,0.0,40% optimal-eps / 60% random,40_60,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),2.795324242426177,22.082310619065538
81,FOGAS,4000,0.1,40% optimal-eps / 60% random,40_60,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),3.436742143865773,13.108746756799519
82,FOGAS,8000,0.1,40% optimal-eps / 60% random,40_60,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),3.225355879169471,13.4351359650027
83,FOGAS,12000,0.1,40% optimal-eps / 60% random,40_60,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),3.2623640262763103,15.192824833095074
84,FOGAS,16000,0.1,40% optimal-eps / 60% random,40_60,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),2.9662977666669583,18.58198259701021
85,FOGAS,20000,0.1,40% optimal-eps / 60% random,40_60,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),3.047327156891983,22.04612872703001
86,FOGAS,4000,0.3,40% optimal-eps / 60% random,40_60,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),3.307717061017984,13.199195232009515
