problem,gamma,dataset_path,beta_update,beta_projection_radius,T,alpha,eta,rho,theta_lambda,theta_lr,theta_inner_steps,policy_optimizer,policy_gradient,reinforce_samples,state_weight_update,theta_mode,theta_optimizer,theta_start_mode,theta_include_beta_cov,source_run_idx,source_greedy_success_rate,source_solver_success_rate,source_greedy_avg_reward,source_solver_avg_reward,seed,num_trajectories,max_steps,checkpoint_count,step,checkpoint_idx,avg_reward,reward_std,reward_sem,success_rate,total_loss,policy_objective,beta_objective,q_objective,theta_norm,policy_grad_norm,beta_grad_norm,theta_grad_norm,device,status,error,train_elapsed_seconds,elapsed_seconds,run_idx
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,fogas_diag,,3000,0.001,3e-05,0.5,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,67,1.0,1.0,0.9300000000000002,0.9272,42,100,20,20,2100,14,0.9172,0.0195959179422654,0.0019595917942265,1.0,-0.1282231850716796,-0.7296279989736214,0.0817756057258097,-0.1389414581277543,123.01932438514388,0.0010135863235356,0.3568080638896683,0.0034010625042261,cpu,ok,,26.66757573798532,27.63308968098136,7
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,fogas_diag,,3000,0.001,3e-05,0.5,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,67,1.0,1.0,0.9300000000000002,0.9272,42,100,20,20,2250,15,0.9171,0.0208067102618167,0.0020806710261816,1.0,-0.1277085976231518,-0.8682105294275227,0.0972898320156848,-0.1393209567910819,133.0279366136307,0.0045866769243793,0.3941044053853132,0.0025544677491019,cpu,ok,,26.66757573798532,27.683452191005927,7
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,fogas_diag,,3000,0.001,3e-05,0.5,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,67,1.0,1.0,0.9300000000000002,0.9272,42,100,20,20,2400,16,0.9213,0.0159958959382926,0.0015995895938292,1.0,-0.1246477213191508,-1.028627322252152,0.114934361681735,-0.1372398099703562,143.41791449198118,0.0057402975875785,0.4155476789866784,0.0026059946705698,cpu,ok,,26.66757573798532,27.73229417699622,7
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,fogas_diag,,3000,0.001,3e-05,0.5,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,67,1.0,1.0,0.9300000000000002,0.9272,42,100,20,20,2550,17,0.9214,0.0166375503247347,0.0016637550324734,1.0,-0.1235380208326153,-1.1685796771576022,0.1186877807532164,-0.137085820135946,152.5422860684198,0.0069672454985262,0.3520814647510437,0.0027575253228176,cpu,ok,,26.66757573798532,27.780847862013616,7
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,fogas_diag,,3000,0.001,3e-05,0.5,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,67,1.0,1.0,0.9300000000000002,0.9272,42,100,20,20,2700,18,0.9247999999999998,0.0091541236499175,0.0009154123649917,1.0,-0.1203745349828846,-1.3179819847173184,0.1170809661316108,-0.134774027892774,160.07209351933793,0.0068491689455322,0.325280412352805,0.0031161548019595,cpu,ok,,26.66757573798532,27.82811916602077,7
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,fogas_diag,,3000,0.001,3e-05,0.5,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,67,1.0,1.0,0.9300000000000002,0.9272,42,100,20,20,2850,19,0.924,0.0103474976236144,0.0010347497623614,1.0,-0.1227649744274183,-1.4603653403770132,0.1095038970344121,-0.1382176497279282,166.38674226623326,0.0056091969249392,0.2917901572961959,0.0048037078933104,cpu,ok,,26.66757573798532,27.875613401993174,7
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,fogas_diag,,3000,0.001,3e-05,0.5,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,67,1.0,1.0,0.9300000000000002,0.9272,42,100,20,20,3000,20,0.9272,0.0053333333333332,0.0005333333333333,1.0,-0.1295684950919964,-1.5718858118044376,0.0905867712526625,-0.1462003307006045,172.20849305100128,0.0059875384535857,0.2770277398640118,0.0052977948549855,cpu,ok,,26.66757573798532,27.92202319798525,7
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,projected_gradient,0.25,3000,0.001,0.001,0.03,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,234,1.0,1.0,0.9300000000000002,0.9123,42,100,20,20,150,1,-0.1585,0.2044276316099577,0.0204427631609957,0.04,-0.0147508442559816,-0.0151011688643424,0.0002490954409698,-0.014797240910211,8.044509217974342,3.366236493168744e-05,0.1097720306689389,0.004978981274108,cpu,ok,,22.401462585025,22.530617790005635,2
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,projected_gradient,0.25,3000,0.001,0.001,0.03,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,234,1.0,1.0,0.9300000000000002,0.9123,42,100,20,20,300,2,0.0080999999999999,0.4185151602916427,0.0418515160291642,0.2,-0.0294792076051013,-0.0306724411099445,0.0005206714060585,-0.0300579010752236,17.442622251577085,8.53797186191796e-05,0.0861938021651717,0.0049445083843534,cpu,ok,,22.401462585025,22.61963355197804,2
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,projected_gradient,0.25,3000,0.001,0.001,0.03,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,234,1.0,1.0,0.9300000000000002,0.9123,42,100,20,20,450,3,0.4184999999999999,0.529662318573987,0.0529662318573987,0.58,-0.0441583067939275,-0.0474668392687981,0.0008415109222667,-0.0443866288947316,28.85908064061143,0.0001725932277788,0.06388678287658,0.0048896016095909,cpu,ok,,22.401462585025,22.69833648699569,2
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,projected_gradient,0.25,3000,0.001,0.001,0.03,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,234,1.0,1.0,0.9300000000000002,0.9123,42,100,20,20,600,4,0.7522,0.3546333431599573,0.0354633343159957,0.88,-0.0581417762356477,-0.0672171843854879,0.0018579792213511,-0.0593591178262137,40.6770906404594,0.0006675698223041,0.0903690647239783,0.0048088314147582,cpu,ok,,22.401462585025,22.766056952008512,2
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,projected_gradient,0.25,3000,0.001,0.001,0.03,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,234,1.0,1.0,0.9300000000000002,0.9123,42,100,20,20,750,5,0.8749000000000001,0.1565569893332486,0.0156556989333248,0.98,-0.06996111625516,-0.0928863017517198,0.0050385752921784,-0.0715413427619904,51.41547476027571,0.0008039522769589,0.1471475932335072,0.004688082129464,cpu,ok,,22.401462585025,22.825664607982617,2
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,projected_gradient,0.25,3000,0.001,0.001,0.03,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,234,1.0,1.0,0.9300000000000002,0.9123,42,100,20,20,900,6,0.9059,0.023098165566236,0.0023098165566236,1.0,-0.0799352972392731,-0.1319004580160886,0.0100643274792592,-0.0831548286791541,59.64269692486442,0.0010657805059134,0.1766636886553931,0.0045253194453573,cpu,ok,,22.401462585025,22.880889628024303,2
