alpha,eta,rho,T,theta_lr,theta_inner_steps,theta_lambda,theta_mode,theta_optimizer,theta_start_mode,theta_include_beta_cov,beta_update,policy_optimizer,policy_gradient,reinforce_samples,fisher_damping,cg_iters,cg_tol,state_weight_update,dataset_path,num_trajectories,max_steps,seed,device,status,error,elapsed_seconds,solver_success_rate,solver_avg_return,solver_v_x0,solver_v_gap,greedy_success_rate,greedy_avg_return,greedy_v_x0,greedy_v_gap,final_total_loss,final_policy_objective,final_beta_objective,final_q_objective,final_theta_norm,final_policy_grad_norm,final_beta_grad_norm,final_theta_grad_norm,run_idx
0.001,0.0001,0.5,3000,0.003,10,3e-08,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,100,20,42,cpu,ok,,148.12113934499212,0.92,-0.3323194516716687,2.109522518296579,0.5169944580954011,0.94,-0.21027400066196392,2.967923004896019,0.0,-0.5248504738487156,-29.003046427190363,6.460733006703756,-0.5392121867346624,329.04675683206824,0.18311879184098945,1.0541190923628894,0.02546755650006833,2267
0.001,0.0001,0.75,1500,0.001,20,1e-09,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,100,20,42,cpu,ok,,68.92934588796925,0.92,-0.34297493481482605,2.04733559998365,0.43696775482117967,0.94,-0.21027400066196392,2.967923004896019,0.0,-2.4553374852714955,-4.100198805823174,0.544661224988893,-2.4616871800400824,117.93611766592579,0.009150451374145475,0.47069890592617325,0.03968056721237857,1500
0.001,0.0001,1.5,1500,0.001,20,1e-07,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,100,20,42,cpu,ok,,109.49142341897823,0.92,-0.3550870601933482,1.9876501384787528,0.4501429342370522,0.94,-0.21027400066196392,2.967923004896019,0.0,-2.480617824716317,-4.075878770290028,0.5193808746226876,-2.4851962974884794,122.51422576293146,0.006907695546949253,0.4493172512245204,0.04011018398833094,1912
0.001,0.0001,0.75,3000,0.003,10,3e-08,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,100,20,42,cpu,ok,,145.60672124201665,0.92,-0.35530976069092435,2.034123593529321,0.5372069408519704,0.94,-0.21027400066196392,2.967923004896019,0.0,-0.5317062295155948,-29.30575222531823,6.712339705136417,-0.5456971873395638,331.523393548655,0.16843877531919138,1.0323703627620928,0.023653104641780328,1504
0.001,0.0001,0.5,3000,0.003,10,1e-09,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,100,20,42,cpu,ok,,134.8025933880126,0.92,-0.3555507134009342,1.9786782989792933,0.5916596729681262,0.94,-0.21027400066196392,2.967923004896019,0.0,-0.3747930160101385,-29.69057289364136,6.798440252821177,-0.3907729672553992,335.4897543967032,0.1357493508108251,1.0594582385903109,0.028677218553935294,2268
0.001,0.0001,0.5,3000,0.001,10,1e-07,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,100,20,42,cpu,ok,,185.76945148798404,0.91,-0.3056603330045683,2.4092726321770073,0.1796140537108481,0.94,-0.21027400066196392,2.967923004896019,0.0,-1.8615860559346369,-5.124744775435641,1.138412496152152,-1.8810772714908979,110.20434527204964,0.013677471329238185,0.450837218898462,0.028881081475954494,2433
0.001,0.0001,1.5,3000,0.001,10,1e-07,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,100,20,42,cpu,ok,,197.53523620800115,0.91,-0.3090135337885864,2.330545355785161,0.20246171942304747,0.94,-0.21027400066196392,2.967923004896019,0.0,-1.9634504769950858,-4.941128102591797,1.0365481010185167,-1.9801215457825239,110.25658903808252,0.016317114331765987,0.44716395765812705,0.030294689561937475,2046
0.001,0.0001,1.0,3000,0.001,10,3e-08,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,100,20,42,cpu,ok,,198.38287276402116,0.91,-0.310153909130529,2.4062515761187058,0.1885801776172229,0.94,-0.21027400066196392,2.967923004896019,0.0,-1.8908964773557422,-4.96014728386361,1.109102082566686,-1.9097571323514897,109.05781230887163,0.014875142164840607,0.43687523868309525,0.02901676019968235,759
0.001,0.0001,0.5,3000,0.001,10,1e-09,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,100,20,42,cpu,ok,,127.46945422200952,0.91,-0.3123716762213736,2.3442486860471368,0.2015142410704212,0.94,-0.21027400066196392,2.967923004896019,0.0,-1.8570337436951523,-5.04852113387482,1.1429648093931053,-1.8777219908285592,110.67244539367292,0.013048774148478461,0.4482016469238649,0.028628787489665474,2344
0.001,0.0001,1.5,3000,0.001,10,1e-09,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,100,20,42,cpu,ok,,149.98874394001905,0.91,-0.31491109017560076,2.398011276127948,0.18504761260569524,0.94,-0.21027400066196392,2.967923004896019,0.0,-1.9605214990562236,-4.941830108912805,1.0394770772151423,-1.9777720676429078,110.18795192172733,0.017259494833471088,0.4353950628040165,0.03003141258498983,2011
0.001,0.0001,1.5,3000,0.001,20,3e-07,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,100,20,42,cpu,ok,,187.0737969870097,0.91,-0.32509388849810283,2.2105548986714423,0.3472819050839936,0.94,-0.21027400066196392,2.967923004896019,0.0,-2.143881014244748,-15.28859567578049,3.8561148881708904,-2.1482761170930016,232.87823169968576,0.05111596502706419,0.8376732641377534,0.017325680080953365,2036
0.001,0.0001,0.75,3000,0.001,20,3e-07,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,100,20,42,cpu,ok,,173.95953684602864,0.91,-0.32607523248237785,2.234910495766451,0.3294429288376993,0.94,-0.21027400066196392,2.967923004896019,0.0,-1.877764470465566,-16.021593507895425,4.122231073492263,-1.880512986658711,234.49410638030943,0.07356548427890404,0.8993722365018781,0.016228467388786128,1651
0.001,0.0001,0.5,3000,0.003,10,1e-08,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,100,20,42,cpu,ok,,177.1394388800254,0.91,-0.33704038802787445,2.0925533769461215,0.5224143854437296,0.94,-0.21027400066196392,2.967923004896019,0.0,-0.4494313049744907,-29.898719993765344,6.635248002814735,-0.46720449462699776,332.38315345628087,0.1837120294026988,1.0336028829390222,0.024023722233007763,2321
0.001,0.0001,1.5,3000,0.001,20,3e-08,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,100,20,42,cpu,ok,,62.97443296003621,0.91,-0.33744988041121127,2.164219247244879,0.3687322961927102,0.94,-0.21027400066196392,2.967923004896019,0.0,-2.16967260106142,-15.55500530701615,3.830323396582696,-2.180053421076097,238.12628888137647,0.0725592225787494,0.9042774392166987,0.014706179707554709,1854
0.001,0.0001,0.5,1500,0.001,20,1e-08,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,100,20,42,cpu,ok,,76.60223652602872,0.91,-0.34443287106683174,2.02556912895436,0.4538661318726826,0.94,-0.21027400066196392,2.967923004896019,0.0,-2.449814211612871,-4.071804453206205,0.5501844954399353,-2.456146498651625,118.74021364625607,0.012631945098880597,0.47153269826808125,0.039401139040458964,2254
0.001,0.0001,0.5,1500,0.001,20,3e-08,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,100,20,42,cpu,ok,,110.72791754099308,0.91,-0.34660780004749014,2.042703585115956,0.42296302256268153,0.94,-0.21027400066196392,2.967923004896019,0.0,-2.451480161924927,-4.133034986821715,0.5485185437464314,-2.4576834034329536,118.94521289810356,0.011880705913574513,0.48063554024488614,0.03964567485227888,2300
0.001,0.0001,1.0,1500,0.003,10,1e-08,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,100,20,42,cpu,ok,,79.84471008501714,0.91,-0.3491615917012355,2.0012942769324598,0.4969323358966396,0.94,-0.21027400066196392,2.967923004896019,0.0,-3.348676151624372,-7.361383853060161,1.151321828657119,-3.3502530659091105,183.2024931455457,0.021490024301663427,0.6298001851044456,0.034792736045382654,486
0.001,0.0001,0.5,1500,0.003,10,1e-08,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,100,20,42,cpu,ok,,86.19738961197436,0.91,-0.35391723727310315,1.9601520513572779,0.5222903409278039,0.94,-0.21027400066196392,2.967923004896019,0.0,-3.325183972179735,-7.459056604818441,1.1748140029600014,-3.3272725561484515,185.02446937551863,0.01744116639343559,0.6273055458692808,0.03459950839967918,2172
