n_centers,ridge,sigma_mult,base_sigma,sigma,feature_dim,converged,status,error,elapsed_seconds
73,1.0,0.6,0.11549741788489969,0.0692984507309398,296,False,ok,,0.32337067485786974
73,1.0,0.8,0.11549741788489969,0.09239793430791976,296,False,ok,,0.32145664002746344
73,1.0,1.0,0.11549741788489969,0.11549741788489969,296,False,ok,,0.322608076967299
73,10.0,0.05,0.11549741788489969,0.005774870894244985,296,False,ok,,0.326748383929953
73,10.0,0.1,0.11549741788489969,0.01154974178848997,296,False,ok,,0.3255464278627187
73,10.0,0.2,0.11549741788489969,0.02309948357697994,296,False,ok,,0.32394838286563754
73,10.0,0.4,0.11549741788489969,0.04619896715395988,296,False,ok,,0.3257618569768965
73,10.0,0.6,0.11549741788489969,0.0692984507309398,296,False,ok,,0.3242116018664092
73,10.0,0.8,0.11549741788489969,0.09239793430791976,296,False,ok,,0.322560905944556
73,10.0,1.0,0.11549741788489969,0.11549741788489969,296,False,ok,,0.3259465571027249
72,1e-06,0.05,0.11366686406545151,0.005683343203272576,292,False,ok,,0.3242371620144695
72,1e-06,0.1,0.11366686406545151,0.011366686406545153,292,False,ok,,0.32395338290371
72,1e-06,0.2,0.11366686406545151,0.022733372813090305,292,True,ok,,0.3172473928425461
71,1e-06,0.05,0.1148145869333472,0.005740729346667361,288,False,ok,,0.3307272319216281
71,1e-06,0.1,0.1148145869333472,0.011481458693334721,288,True,ok,,0.31924760714173317
70,1e-06,0.05,0.1150499473673866,0.00575249736836933,284,False,ok,,0.31954269600100815
70,1e-06,0.1,0.11551570371011272,0.011551570371011273,284,False,ok,,0.32287313695997
70,1e-06,0.2,0.11551570371011272,0.023103140742022545,284,False,ok,,0.32111504185013473
70,1e-06,0.4,0.1150499473673866,0.04601997894695464,284,False,ok,,0.31931516784243286
70,1e-06,0.6,0.1150499473673866,0.06902996842043196,284,False,ok,,0.32062817295081913
70,1e-06,0.8,0.11551570371011272,0.09241256296809018,284,False,ok,,0.3208316517993808
70,1e-06,1.0,0.11551570371011272,0.11551570371011272,284,False,ok,,0.32159569091163576
70,0.0001,0.05,0.1150499473673866,0.00575249736836933,284,False,ok,,0.3208707228768617
70,0.0001,0.1,0.1150499473673866,0.01150499473673866,284,False,ok,,0.32228976814076304
70,0.0001,0.2,0.1150499473673866,0.02300998947347732,284,False,ok,,0.32167177903465927
70,0.0001,0.4,0.1150499473673866,0.04601997894695464,284,False,ok,,0.31978072598576546
70,0.0001,0.6,0.11551570371011272,0.06930942222606763,284,False,ok,,0.32211352908052504
70,0.0001,0.8,0.1150499473673866,0.09203995789390929,284,False,ok,,0.31981884501874447
70,0.0001,1.0,0.1150499473673866,0.1150499473673866,284,False,ok,,0.32188871898688376
70,0.01,0.05,0.11551570371011272,0.005775785185505636,284,False,ok,,0.3209247519262135
70,0.01,0.1,0.1150499473673866,0.01150499473673866,284,False,ok,,0.3244180919136852
70,0.01,0.2,0.11551570371011272,0.023103140742022545,284,False,ok,,0.3226611858699471
