run_idx,algorithm,dataset_size,epsilon,proportions,proportion_key,reset_mode,extra_terminal_steps,seed,status,error,feature_coverage,greedy_on_data_quality,greedy_optimal_states_quality,greedy_avg_reward,greedy_success_rate,greedy_v_x0,greedy_v_gap,solver_on_data_quality,solver_optimal_states_quality,solver_avg_reward,solver_success_rate,solver_v_x0,solver_v_gap,elapsed_seconds,steps,lambda_entropy,eta,lr_value,lr_rho,lr_policy,tau,rollout_length,batch_size,device,torch_threads,last_objective,last_primal_mse,last_dual_mse,last_theta_grad_norm,last_beta_grad_norm,last_policy_grad_norm
157,SBEED,8000,0.1,100% optimal-eps / 0% random,100_0,x0,3,42,ok,,1.5504081303501414,1.9708168903637287e-17,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,-7.548460706246637e-19,0.23694050326687344,0.1712460112638005,-0.9415812279361628,0.91,-0.9540175869079984,0.20187181676416932,118.30656114697922,3000,0.0001,1.0,0.003,0.001,0.003,500.0,1,,cuda:4,1,-3.866177834403559,0.39769359607698795,4.263871430480547,0.6717282830705676,0.36340421799713946,0.011309456070466479
158,SBEED,12000,0.1,100% optimal-eps / 0% random,100_0,x0,3,42,ok,,1.5488595087238135,1.973827698491777e-17,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,-7.548460706246637e-19,0.23613081512073536,0.1703190228362315,-0.9247018860848162,0.93,-0.9583843160252677,0.20477146795245266,118.3961928790086,3000,0.0001,1.0,0.003,0.001,0.003,500.0,1,,cuda:5,1,-3.867242365489291,0.3982357956998476,4.265478161189138,0.6712436443746723,0.36287253340229764,0.011261283446843276
159,SBEED,16000,0.1,100% optimal-eps / 0% random,100_0,x0,3,42,ok,,1.557038168247064,1.97554464937627e-17,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,-7.548460706246637e-19,0.21823746850793452,0.15714725492458337,-0.9257156567145449,0.93,-0.9493681197583906,0.18951050781924939,122.9243211710127,3000,0.0001,1.0,0.003,0.001,0.003,500.0,1,,cuda:6,1,-3.8655632415594954,0.4035723997460708,4.269135641305566,0.6692085707686728,0.36201531226031874,0.010996608066821598
160,SBEED,20000,0.1,100% optimal-eps / 0% random,100_0,x0,3,42,ok,,1.556876014934485,1.9724042404289786e-17,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,-7.548460706246637e-19,0.22950461400350858,0.16501460537588672,-0.940782943688146,0.92,-0.9544634709366581,0.19847971511362056,127.03607057000045,3000,0.0001,1.0,0.003,0.001,0.003,500.0,1,,cuda:7,1,-3.8639722520046003,0.4032774257088695,4.26724967771347,0.6683720238055509,0.3614928628821222,0.0110089513322818
161,SBEED,4000,0.3,100% optimal-eps / 0% random,100_0,x0,3,42,ok,,1.8072701370943494,0.0362243012354966,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,-7.548460706246637e-19,0.6695344039156049,0.48195260422795344,-1.1453886038079915,0.67,-1.1215785116755692,0.5268659373909108,116.70263881603023,3000,0.0001,1.0,0.003,0.001,0.003,500.0,1,,cuda:0,1,-4.088116073063804,0.36217792129498555,4.450293994358789,0.6715968980869035,0.3089898605542217,0.005245033068578319
162,SBEED,8000,0.3,100% optimal-eps / 0% random,100_0,x0,3,42,ok,,1.8060093288356303,0.025614449047363878,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,-7.548460706246637e-19,0.691582577208208,0.4914318928378887,-1.1922667361614832,0.56,-1.1265650791514574,0.5433558987984368,118.14466471702326,3000,0.0001,1.0,0.003,0.001,0.003,500.0,1,,cuda:1,1,-4.086633410785772,0.3527669415260276,4.439400352311799,0.6727633678340736,0.30643504311537717,0.005469801008509435
163,SBEED,12000,0.3,100% optimal-eps / 0% random,100_0,x0,3,42,ok,,1.8127157949595638,0.09919671365524163,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,-7.548460706246637e-19,0.6302550807147755,0.44738289303047274,-1.151029972481501,0.64,-1.110786727508206,0.5018452589193008,118.69272472296143,3000,0.0001,1.0,0.003,0.001,0.003,500.0,1,,cuda:2,1,-4.070677048390137,0.35773234187855585,4.428409390268693,0.6693797767295504,0.3062279947681585,0.0054863961298094194
164,SBEED,16000,0.3,100% optimal-eps / 0% random,100_0,x0,3,42,ok,,1.8174392737254355,0.08590687399736999,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,-7.548460706246637e-19,0.6201921319858683,0.44093151462985153,-1.1516755683668212,0.64,-1.1058648042938783,0.49480956217505423,121.99064383201767,3000,0.0001,1.0,0.003,0.001,0.003,500.0,1,,cuda:3,1,-4.070528014079028,0.3585861069757548,4.429114121054783,0.6673449138740415,0.30559121134655776,0.0053816336659986965
165,SBEED,20000,0.3,100% optimal-eps / 0% random,100_0,x0,3,42,ok,,1.8118587206235357,0.07153092198483116,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,-7.548460706246637e-19,0.6427644309323038,0.45698952168361945,-1.1825919015474469,0.6,-1.1143759627445293,0.5122883095504438,122.70784952800022,3000,0.0001,1.0,0.003,0.001,0.003,500.0,1,,cuda:4,1,-4.074490015555795,0.35889099521631473,4.433381010772109,0.6680811158074242,0.305219349663758,0.0051844922313635
166,SBEED,4000,0.5,100% optimal-eps / 0% random,100_0,x0,3,42,ok,,2.3919420036736225,2.02206559535889e-17,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,-7.548460706246637e-19,1.0960457745975956,0.779989028647399,-1.1757244636043753,0.26,-1.1779091580908623,0.804350412985294,119.15311876306077,3000,0.0001,1.0,0.003,0.001,0.003,500.0,1,,cuda:5,1,-4.510535087588302,0.2678266347493641,4.778361722337666,0.7064055657646721,0.27500337862760316,0.0022027185664150353
