ablation,policy_optimizer,policy_gradient,alpha,reinforce_samples,fisher_damping,cg_iters,cg_tol,count,seed_count,ok_count,failed_count,elapsed_seconds_mean,solver_success_rate_best,solver_success_rate_mean,solver_success_rate_std,solver_success_rate_sem,solver_success_rate_ci95,greedy_success_rate_best,greedy_success_rate_mean,greedy_success_rate_std,greedy_success_rate_sem,greedy_success_rate_ci95,solver_avg_return_best,solver_avg_return_mean,solver_avg_return_std,solver_avg_return_sem,solver_avg_return_ci95,greedy_avg_return_best,greedy_avg_return_mean,greedy_avg_return_std,greedy_avg_return_sem,greedy_avg_return_ci95
npg_exact_alpha_fisher,npg,exact,0.0003,4,0.0001,50,1e-10,5,5,5,0,3804.2043188786133,0.25,0.25,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0771977369135841,-1.0771977369135841,0.0,0.0,0.0,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
npg_exact_alpha_fisher,npg,exact,0.001,4,1e-05,50,1e-10,5,5,5,0,4102.4346455303485,0.24,0.24,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0187466564852938,-1.0187466564852938,0.0,0.0,0.0,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
npg_exact_alpha_fisher,npg,exact,0.001,4,0.001,50,1e-10,5,5,5,0,3339.831551586045,0.21,0.21000000000000002,3.1031676915590914e-17,1.3877787807814457e-17,2.7200464103316335e-17,1.0,1.0,0.0,0.0,0.0,-1.0905258554922739,-1.0905258554922739,0.0,0.0,0.0,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
npg_exact_alpha_fisher,npg,exact,0.0003,4,1e-05,50,1e-10,5,5,5,0,3838.102383818617,0.18,0.18,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0140382389038152,-1.0140382389038152,0.0,0.0,0.0,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
npg_exact_alpha_fisher,npg,exact,0.0003,4,0.001,50,1e-10,5,5,5,0,3143.7987904462498,0.15,0.15,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0517196037668148,-1.0517196037668148,0.0,0.0,0.0,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
npg_exact_alpha_fisher,npg,exact,0.001,4,0.01,50,1e-10,5,5,5,0,2410.8211719531564,0.15,0.15,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.071428248263103,-1.071428248263103,0.0,0.0,0.0,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
npg_exact_alpha_fisher,npg,exact,0.0003,4,1e-06,50,1e-10,5,5,5,0,3532.118019491993,0.14,0.14,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0693845540898703,-1.0693845540898703,0.0,0.0,0.0,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
npg_exact_alpha_fisher,npg,exact,0.0003,4,0.003,50,1e-10,5,5,5,0,2794.5730373892934,0.14,0.14,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0105670852896529,-1.0105670852896529,0.0,0.0,0.0,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
npg_exact_alpha_fisher,npg,exact,0.0003,4,3e-06,50,1e-10,5,5,5,0,4036.785792818572,0.12,0.12,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0852469656524155,-1.0852469656524155,0.0,0.0,0.0,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
npg_exact_alpha_fisher,npg,exact,0.0003,4,0.0003,50,1e-10,5,5,5,0,3624.013300297642,0.12,0.12,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0529093827947655,-1.0529093827947655,0.0,0.0,0.0,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
