ablation,policy_optimizer,policy_gradient,alpha,reinforce_samples,fisher_damping,cg_iters,cg_tol,checkpoint_step,count,seed_count,ok_count,failed_count,elapsed_seconds_mean,solver_success_rate_best,solver_success_rate_mean,solver_success_rate_std,solver_success_rate_sem,solver_success_rate_ci95,greedy_success_rate_best,greedy_success_rate_mean,greedy_success_rate_std,greedy_success_rate_sem,greedy_success_rate_ci95,solver_avg_return_best,solver_avg_return_mean,solver_avg_return_std,solver_avg_return_sem,solver_avg_return_ci95,greedy_avg_return_best,greedy_avg_return_mean,greedy_avg_return_std,greedy_avg_return_sem,greedy_avg_return_ci95
adam_reinforce_samples,adam,reinforce,0.001,4,0.001,50,1e-10,1500,5,5,5,0,,0.59,0.58,0.014142135623730925,0.006324555320336747,0.012396128427860023,1.0,1.0,0.0,0.0,0.0,-1.3196537630781242,-1.3468718604817265,0.02693837091611356,0.01204720571430664,0.023612523200041015,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
adam_reinforce_samples,adam,reinforce,0.001,8,0.001,50,1e-10,1500,5,5,5,0,,0.6,0.586,0.015165750888103067,0.006782329983125252,0.013293366766925495,1.0,1.0,0.0,0.0,0.0,-1.3263943510780338,-1.3544886285415967,0.044374185087815134,0.019844738860502423,0.03889568816658475,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
adam_reinforce_samples,adam,reinforce,0.001,16,0.001,50,1e-10,1500,5,5,5,0,,0.6,0.58,0.015811388300841875,0.007071067811865465,0.01385929291125631,1.0,1.0,0.0,0.0,0.0,-1.3203334770655766,-1.377726784215916,0.033264501487730774,0.014876337312841778,0.029157621133169886,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
adam_reinforce_samples,adam,reinforce,0.001,32,0.001,50,1e-10,1500,5,5,5,0,,0.59,0.576,0.011401754250991351,0.005099019513592771,0.009994078246641832,1.0,1.0,0.0,0.0,0.0,-1.3390612545228153,-1.3678592703146537,0.0269637634943263,0.012058561620508173,0.023634780776196018,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
adam_reinforce_samples,adam,reinforce,0.001,1,0.001,50,1e-10,2000,5,5,5,0,,0.67,0.652,0.016431676725154998,0.0073484692283495405,0.014402999687565098,1.0,1.0,0.0,0.0,0.0,-1.298562782340992,-1.3407254241399684,0.028617623831638846,0.01279819044841249,0.02508445327888848,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
adam_reinforce_samples,adam,reinforce,0.001,2,0.001,50,1e-10,2000,5,5,5,0,,0.66,0.648,0.016431676725154998,0.0073484692283495405,0.014402999687565098,1.0,1.0,0.0,0.0,0.0,-1.3046626099790526,-1.3395369729550541,0.03994431450792088,0.01786364051086843,0.03501273540130213,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
adam_reinforce_samples,adam,reinforce,0.001,4,0.001,50,1e-10,2000,5,5,5,0,,0.68,0.65,0.018708286933869722,0.008366600265340762,0.016398536520067893,1.0,1.0,0.0,0.0,0.0,-1.27013897071265,-1.307086805036223,0.02706304407598691,0.012102961246395942,0.023721804042936046,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
adam_reinforce_samples,adam,reinforce,0.001,8,0.001,50,1e-10,2000,5,5,5,0,,0.67,0.642,0.021679483388678818,0.009695359714832666,0.019002905041072025,1.0,1.0,0.0,0.0,0.0,-1.2918384510195546,-1.3328029039981808,0.033894699394045054,0.015158170384401133,0.02971001395342622,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
adam_reinforce_samples,adam,reinforce,0.001,16,0.001,50,1e-10,2000,5,5,5,0,,0.69,0.666,0.01949358868961791,0.008717797887081338,0.017086883858679423,1.0,1.0,0.0,0.0,0.0,-1.2878083063096293,-1.3294361274123019,0.03348087591369555,0.014973102897851726,0.02934728167978938,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
adam_reinforce_samples,adam,reinforce,0.001,32,0.001,50,1e-10,2000,5,5,5,0,,0.68,0.6540000000000001,0.021908902300206663,0.00979795897113272,0.01920399958342013,1.0,1.0,0.0,0.0,0.0,-1.3048982501074706,-1.316061364350536,0.018337720270531144,0.008200877815456694,0.01607372051829512,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
adam_reinforce_samples,adam,reinforce,0.001,1,0.001,50,1e-10,2500,5,5,5,0,,0.74,0.694,0.03974921382870356,0.017776388834631167,0.034841722115877084,1.0,1.0,0.0,0.0,0.0,-1.148778540308353,-1.2826950521963825,0.08818243383023816,0.039436383293157934,0.07729531125458955,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
adam_reinforce_samples,adam,reinforce,0.001,2,0.001,50,1e-10,2500,5,5,5,0,,0.63,0.5740000000000001,0.04449719092257396,0.019899748742132392,0.039003507534579485,1.0,1.0,0.0,0.0,0.0,-1.3444200967608222,-1.4000521070664298,0.04101717741510007,0.01834343938906657,0.035953141202570475,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
adam_reinforce_samples,adam,reinforce,0.001,4,0.001,50,1e-10,2500,5,5,5,0,,0.67,0.6100000000000001,0.05147815070493501,0.02302172886644268,0.04512258857822765,1.0,1.0,0.0,0.0,0.0,-1.245852585408159,-1.335909789532059,0.08255767547766431,0.03692091488648496,0.07236499317751052,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
adam_reinforce_samples,adam,reinforce,0.001,8,0.001,50,1e-10,2500,5,5,5,0,,0.72,0.6120000000000001,0.07014271166700072,0.031368774282716234,0.06148279759412382,1.0,1.0,0.0,0.0,0.0,-1.2158838691729374,-1.3418887544968805,0.07217458541701156,0.03227745584806057,0.06326381346219871,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
adam_reinforce_samples,adam,reinforce,0.001,16,0.001,50,1e-10,2500,5,5,5,0,,0.69,0.662,0.030331501776206204,0.013564659966250536,0.02658673353385105,1.0,1.0,0.0,0.0,0.0,-1.2144774570366337,-1.287656898451851,0.07740755013665723,0.03461770881545774,0.06785070927829717,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
adam_reinforce_samples,adam,reinforce,0.001,32,0.001,50,1e-10,2500,5,5,5,0,,0.73,0.6419999999999999,0.06572670690061994,0.029393876913398138,0.05761199875026035,1.0,1.0,0.0,0.0,0.0,-1.197416565738542,-1.3473671950148942,0.09388582933288092,0.04198701930245309,0.08229455783280806,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
adam_reinforce_samples,adam,reinforce,0.001,1,0.001,50,1e-10,3000,5,5,5,0,,0.63,0.5860000000000001,0.04037325847637268,0.01805547008526778,0.03538872136712485,1.0,1.0,0.0,0.0,0.0,-1.3290563947677263,-1.3831061515103324,0.045273759176202175,0.02024704062298859,0.03968419962105763,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
adam_reinforce_samples,adam,reinforce,0.001,2,0.001,50,1e-10,3000,5,5,5,0,,0.64,0.5880000000000001,0.04549725266430929,0.020346989949375796,0.03988010030077656,1.0,1.0,0.0,0.0,0.0,-1.2497113903204322,-1.356364137499736,0.087749464422814,0.03924275348772229,0.07691579683593569,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
