alpha,eta,rho,T,theta_lr,theta_inner_steps,theta_lambda,batch_size,hidden_sizes,beta_reg,theta_mode,theta_optimizer,theta_start_mode,beta_update,policy_optimizer,policy_gradient,nn_seed,seed,device,status,error,elapsed_seconds,greedy_mean_steps,greedy_std_steps,greedy_success_rate,greedy_avg_env_return,greedy_std_env_return,solver_mean_steps,solver_std_steps,solver_success_rate,solver_avg_env_return,solver_std_env_return,final_total_loss,final_policy_objective,final_beta_objective,final_q_objective,final_theta_norm,final_policy_grad_norm,final_beta_grad_norm,final_theta_grad_norm,run_idx
0.0001,1e-06,0.005,20000,0.001,10,1e-08,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:0,ok,,890.1618396160193,200.0,0.0,0.0,-200.0,0.0,200.0,0.0,0.0,-200.0,0.0,-4.190003214533348,1162.7218983901805,-117.78197126099708,-5.2181925053844225,516.1706244651537,0.022257014552104912,247.94730388231244,0.02629869581437013,57
0.0001,3e-07,0.05,20000,0.0003,10,1e-06,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:0,ok,,890.3097515110276,200.0,0.0,0.0,-200.0,0.0,200.0,0.0,0.0,-200.0,0.0,-103.16198460935622,-96.73782027302943,-1.0055600928570716,-103.16085215328765,307.8407933475829,0.31687583792618285,47.28777785336274,0.41891318804698674,25
0.0001,3e-07,0.02,20000,0.001,10,1e-08,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:0,ok,,890.3323140490102,200.0,0.0,0.0,-200.0,0.0,200.0,0.0,0.0,-200.0,0.0,-342.95648248897345,-332.8900280791532,-2.800578562734227,-342.9541789139199,949.9092578056399,0.2472500829188444,28.833668291725267,0.41669910205910743,17
0.0002,3e-07,0.5,20000,0.0003,10,1e-06,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:0,ok,,890.3458939190023,200.0,0.0,0.0,-200.0,0.0,200.0,0.0,0.0,-200.0,0.0,-101.81657590169279,-93.5458417289039,0.0902201226553566,-101.8550960851494,299.93298276960394,7.728518725447025,96.98912294555542,13.073775060707353,145
0.0002,1e-06,0.05,20000,0.001,10,1e-08,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:0,ok,,890.3606997049646,200.0,0.0,0.0,-200.0,0.0,200.0,0.0,0.0,-200.0,0.0,-340.95820384236345,-338.35601894521994,-0.8036536612010812,-340.9586873257852,949.5275082188754,0.0007941007798183666,38.31962050599748,0.41387151602606703,177
0.0001,1e-06,0.05,20000,0.0003,10,3e-08,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:0,ok,,890.4550092710415,200.0,0.0,0.0,-200.0,0.0,200.0,0.0,0.0,-200.0,0.0,-103.00718004797383,-100.39287544221189,-0.8526042059152217,-103.01479007459672,315.85481859359595,0.9851135872833312,25.09360841181013,0.45596705723064096,73
0.0002,3e-07,0.05,20000,0.001,10,1e-07,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:0,ok,,890.8303720619879,200.0,0.0,0.0,-200.0,0.0,200.0,0.0,0.0,-200.0,0.0,-343.0428065659658,-327.4535472254112,-2.8867657799957605,-343.0374942137549,913.9638305798039,1.8053286778158295,31.559457856703656,0.41612027345188096,129
0.0002,3e-07,0.1,20000,0.001,10,1e-08,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:0,ok,,890.8490130720311,200.0,0.0,0.0,-200.0,0.0,200.0,0.0,0.0,-200.0,0.0,-342.4057563423602,-335.8912869465037,-2.250208101128861,-342.40569801803053,943.2532396065022,0.13250034752942233,32.76990394443066,0.41668903547101993,137
0.0001,1e-06,0.5,20000,0.001,10,1e-08,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:0,ok,,890.9220093069598,200.0,0.0,0.0,-200.0,0.0,200.0,0.0,0.0,-200.0,0.0,-1.640257966141931,1139.5939701280893,-115.25132513348777,-2.6457893808051267,516.2521452234586,0.028879746106860227,245.795095368629,1.158990168124277,97
0.0001,1e-06,0.02,20000,0.0003,10,1e-06,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:0,ok,,891.1056329560233,200.0,0.0,0.0,-200.0,0.0,200.0,0.0,0.0,-200.0,0.0,-95.26297868114273,-148.24604518317912,6.875871272451767,-95.51589097829273,369.47462386541645,1.4558211637362655,32.385049532716636,1.21539382021175,65
0.0001,3e-07,0.5,20000,0.001,10,1e-07,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:0,ok,,891.5919461699668,200.0,0.0,0.0,-200.0,0.0,200.0,0.0,0.0,-200.0,0.0,-341.9358566841512,-336.6256925186457,-1.781855720985494,-341.9345827266529,970.0132171117864,1.6697465819891337,76.21648480150564,0.46783891403760713,49
0.0003,1e-06,0.5,20000,0.0003,10,1e-06,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:6,ok,,891.7889665809926,200.0,0.0,0.0,-200.0,0.0,200.0,0.0,0.0,-200.0,0.0,-94.65145112567534,-148.55531380066665,7.491540992234691,-94.93613587494468,349.8890303056168,0.20892542389499427,33.53734475514052,1.2527777557494308,295
0.0002,1e-06,0.1,20000,0.0003,10,1e-06,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:0,ok,,892.101865144039,200.0,0.0,0.0,-200.0,0.0,200.0,0.0,0.0,-200.0,0.0,-94.523897292274,-150.00362367066523,7.617882118668189,-94.80201598985977,375.9801938574586,0.33587191565821517,34.06047080725853,1.6823111565774629,185
