alpha,eta,rho,D_theta,T,beta,seed,device,status,error,elapsed_seconds,greedy_avg_reward,greedy_goal_count,greedy_success_rate,reached_goal,final_state,path_length,run_idx
0.005,0.002,0.001,60.0,20000,1e-07,42,cuda,ok,,11.82773024495691,-0.9202335569231277,10,1.0,True,99,24,712
0.005,0.002,0.003,40.0,20000,1e-07,42,cuda,ok,,12.040253248997033,-0.9202335569231277,10,1.0,True,99,24,719
0.005,0.002,0.003,60.0,20000,1e-07,42,cuda,ok,,11.83054541097954,-0.9202335569231277,10,1.0,True,99,24,720
0.00025,0.002,0.0005,5.0,20000,1e-07,42,cuda,ok,,11.745104925939813,-0.40951000000000004,0,0.0,False,32,5,100
0.00025,0.002,0.001,5.0,20000,1e-07,42,cuda,ok,,11.882247783942148,-0.40951000000000004,0,0.0,False,32,5,108
0.00025,0.002,0.003,5.0,20000,1e-07,42,cuda,ok,,11.75625156587921,-0.40951000000000004,0,0.0,False,32,5,116
0.0005,0.002,0.0005,5.0,20000,1e-07,42,cuda,ok,,11.713760664919391,-0.40951000000000004,0,0.0,False,32,5,220
0.0005,0.002,0.001,5.0,20000,1e-07,42,cuda,ok,,11.729018741985783,-0.40951000000000004,0,0.0,False,32,5,228
0.0005,0.002,0.003,5.0,20000,1e-07,42,cuda,ok,,11.863737500971183,-0.40951000000000004,0,0.0,False,32,5,236
0.001,0.002,0.0005,5.0,20000,1e-07,42,cuda,ok,,11.895112744998187,-0.40951000000000004,0,0.0,False,32,5,340
0.001,0.002,0.001,5.0,20000,1e-07,42,cuda,ok,,11.941357515053824,-0.40951000000000004,0,0.0,False,32,5,348
0.001,0.002,0.003,5.0,20000,1e-07,42,cuda,ok,,11.829011743888259,-0.40951000000000004,0,0.0,False,32,5,356
0.002,0.002,0.0005,5.0,20000,1e-07,42,cuda,ok,,11.816094784066081,-0.40951000000000004,0,0.0,False,32,5,460
0.002,0.002,0.001,5.0,20000,1e-07,42,cuda,ok,,11.966161631979048,-0.40951000000000004,0,0.0,False,32,5,468
0.002,0.002,0.003,5.0,20000,1e-07,42,cuda,ok,,11.812415253836662,-0.40951000000000004,0,0.0,False,32,5,476
0.003,0.002,0.0005,5.0,20000,1e-07,42,cuda,ok,,11.727196226129308,-0.40951000000000004,0,0.0,False,32,5,580
0.003,0.002,0.001,5.0,20000,1e-07,42,cuda,ok,,11.73410707898438,-0.40951000000000004,0,0.0,False,32,5,588
0.003,0.002,0.003,5.0,20000,1e-07,42,cuda,ok,,11.728505974868312,-0.40951000000000004,0,0.0,False,32,5,596
0.005,0.002,0.0005,5.0,20000,1e-07,42,cuda,ok,,11.823592646978796,-0.40951000000000004,0,0.0,False,32,5,700
0.005,0.002,0.001,5.0,20000,1e-07,42,cuda,ok,,12.072600960033014,-0.40951000000000004,0,0.0,False,32,5,708
0.005,0.002,0.003,5.0,20000,1e-07,42,cuda,ok,,11.763319781050086,-0.40951000000000004,0,0.0,False,32,5,716
0.00025,0.0001,0.0005,20.0,20000,1e-07,42,cuda,ok,,11.945838768966496,-0.5217031000000001,0,0.0,False,32,7,6
0.00025,0.0001,0.001,20.0,20000,1e-07,42,cuda,ok,,11.818271318916231,-0.5217031000000001,0,0.0,False,32,7,14
0.00025,0.0001,0.003,20.0,20000,1e-07,42,cuda,ok,,11.816102863056585,-0.5217031000000001,0,0.0,False,32,7,22
0.00025,0.0002,0.0005,10.0,20000,1e-07,42,cuda,ok,,11.718132907990366,-0.5217031000000001,0,0.0,False,32,7,29
0.00025,0.0002,0.001,10.0,20000,1e-07,42,cuda,ok,,12.052265733946115,-0.5217031000000001,0,0.0,False,32,7,37
0.00025,0.0002,0.003,10.0,20000,1e-07,42,cuda,ok,,11.713945650029927,-0.5217031000000001,0,0.0,False,32,7,45
0.00025,0.0005,0.0005,10.0,20000,1e-07,42,cuda,ok,,11.76034334488213,-0.5217031000000001,0,0.0,False,32,7,53
0.00025,0.0005,0.001,10.0,20000,1e-07,42,cuda,ok,,11.846439209999517,-0.5217031000000001,0,0.0,False,32,7,61
0.00025,0.0005,0.003,10.0,20000,1e-07,42,cuda,ok,,11.74867517198436,-0.5217031000000001,0,0.0,False,32,7,69
0.00025,0.001,0.0005,10.0,20000,1e-07,42,cuda,ok,,11.770693617174402,-0.5217031000000001,0,0.0,False,32,7,77
0.00025,0.001,0.001,10.0,20000,1e-07,42,cuda,ok,,11.75909885391593,-0.5217031000000001,0,0.0,False,32,7,85
0.00025,0.001,0.003,10.0,20000,1e-07,42,cuda,ok,,11.753762315958738,-0.5217031000000001,0,0.0,False,32,7,93
0.0005,0.0001,0.0005,10.0,20000,1e-07,42,cuda,ok,,11.753932755906135,-0.5217031000000001,0,0.0,False,32,7,125
0.0005,0.0001,0.001,10.0,20000,1e-07,42,cuda,ok,,11.782344242092222,-0.5217031000000001,0,0.0,False,32,7,133
0.0005,0.0001,0.003,10.0,20000,1e-07,42,cuda,ok,,12.053540884051472,-0.5217031000000001,0,0.0,False,32,7,141
