label,state_weight_update,c_min,seed,average_return,optimal_return,gap,alpha,eta,rho,D_theta,T
clipped c_min=0.02,clipped,0.02,44,-0.6971754441406174,-0.34390000000000004,0.35327544414061735,0.1,0.1,0.01,1.0,2000
clipped c_min=0.05,clipped,0.05,42,-0.5023266364810001,-0.34390000000000004,0.15842663648100003,0.1,0.1,0.01,1.0,2000
clipped c_min=0.05,clipped,0.05,43,-0.505813420882,-0.34390000000000004,0.16191342088199995,0.1,0.1,0.01,1.0,2000
clipped c_min=0.05,clipped,0.05,44,-0.511718320882,-0.34390000000000004,0.16781832088199994,0.1,0.1,0.01,1.0,2000
clipped c_min=0.05,clipped,0.05,42,-0.5023266364810001,-0.34390000000000004,0.15842663648100003,0.1,0.1,0.01,1.0,2000
clipped c_min=0.05,clipped,0.05,43,-0.505813420882,-0.34390000000000004,0.16191342088199995,0.1,0.1,0.01,1.0,2000
clipped c_min=0.05,clipped,0.05,44,-0.511718320882,-0.34390000000000004,0.16781832088199994,0.1,0.1,0.01,1.0,2000
clipped c_min=0.05,clipped,0.05,42,-0.5023266364810001,-0.34390000000000004,0.15842663648100003,0.1,0.1,0.01,1.0,2000
clipped c_min=0.05,clipped,0.05,43,-0.505813420882,-0.34390000000000004,0.16191342088199995,0.1,0.1,0.01,1.0,2000
clipped c_min=0.05,clipped,0.05,44,-0.511718320882,-0.34390000000000004,0.16781832088199994,0.1,0.1,0.01,1.0,2000
clipped c_min=0.1,clipped,0.1,42,-0.3760489000000001,-0.34390000000000004,0.032148900000000036,0.1,0.1,0.01,1.0,2000
clipped c_min=0.1,clipped,0.1,43,-0.3760489000000001,-0.34390000000000004,0.032148900000000036,0.1,0.1,0.01,1.0,2000
clipped c_min=0.1,clipped,0.1,44,-0.3760489000000001,-0.34390000000000004,0.032148900000000036,0.1,0.1,0.01,1.0,2000
clipped c_min=0.1,clipped,0.1,42,-0.3760489000000001,-0.34390000000000004,0.032148900000000036,0.1,0.1,0.01,1.0,2000
clipped c_min=0.1,clipped,0.1,43,-0.3760489000000001,-0.34390000000000004,0.032148900000000036,0.1,0.1,0.01,1.0,2000
clipped c_min=0.1,clipped,0.1,44,-0.3760489000000001,-0.34390000000000004,0.032148900000000036,0.1,0.1,0.01,1.0,2000
clipped c_min=0.1,clipped,0.1,42,-0.3760489000000001,-0.34390000000000004,0.032148900000000036,0.1,0.1,0.01,1.0,2000
clipped c_min=0.1,clipped,0.1,43,-0.3760489000000001,-0.34390000000000004,0.032148900000000036,0.1,0.1,0.01,1.0,2000
clipped c_min=0.1,clipped,0.1,44,-0.3760489000000001,-0.34390000000000004,0.032148900000000036,0.1,0.1,0.01,1.0,2000
clipped c_min=0.2,clipped,0.2,42,-0.34390000000000004,-0.34390000000000004,0.0,0.1,0.1,0.01,1.0,2000
clipped c_min=0.2,clipped,0.2,43,-0.34390000000000004,-0.34390000000000004,0.0,0.1,0.1,0.01,1.0,2000
clipped c_min=0.2,clipped,0.2,44,-0.34390000000000004,-0.34390000000000004,0.0,0.1,0.1,0.01,1.0,2000
clipped c_min=0.2,clipped,0.2,42,-0.34390000000000004,-0.34390000000000004,0.0,0.1,0.1,0.01,1.0,2000
clipped c_min=0.2,clipped,0.2,43,-0.34390000000000004,-0.34390000000000004,0.0,0.1,0.1,0.01,1.0,2000
clipped c_min=0.2,clipped,0.2,44,-0.34390000000000004,-0.34390000000000004,0.0,0.1,0.1,0.01,1.0,2000
clipped c_min=0.2,clipped,0.2,42,-0.34390000000000004,-0.34390000000000004,0.0,0.1,0.1,0.01,1.0,2000
clipped c_min=0.2,clipped,0.2,43,-0.34390000000000004,-0.34390000000000004,0.0,0.1,0.1,0.01,1.0,2000
clipped c_min=0.2,clipped,0.2,44,-0.34390000000000004,-0.34390000000000004,0.0,0.1,0.1,0.01,1.0,2000
clipped c_min=0.5,clipped,0.5,42,-0.34390000000000004,-0.34390000000000004,0.0,0.1,0.1,0.01,1.0,2000
clipped c_min=0.5,clipped,0.5,43,-0.34390000000000004,-0.34390000000000004,0.0,0.1,0.1,0.01,1.0,2000
clipped c_min=0.5,clipped,0.5,44,-0.34390000000000004,-0.34390000000000004,0.0,0.1,0.1,0.01,1.0,2000
clipped c_min=0.5,clipped,0.5,42,-0.34390000000000004,-0.34390000000000004,0.0,0.1,0.1,0.01,1.0,2000
clipped c_min=0.5,clipped,0.5,43,-0.34390000000000004,-0.34390000000000004,0.0,0.1,0.1,0.01,1.0,2000
clipped c_min=0.5,clipped,0.5,44,-0.34390000000000004,-0.34390000000000004,0.0,0.1,0.1,0.01,1.0,2000
clipped c_min=0.5,clipped,0.5,42,-0.34390000000000004,-0.34390000000000004,0.0,0.1,0.1,0.01,1.0,2000
clipped c_min=0.5,clipped,0.5,43,-0.34390000000000004,-0.34390000000000004,0.0,0.1,0.1,0.01,1.0,2000
clipped c_min=0.5,clipped,0.5,44,-0.34390000000000004,-0.34390000000000004,0.0,0.1,0.1,0.01,1.0,2000
