problem,ablation,theta_mode,theta_start_mode,theta_lambda,D_theta,theta_lr,theta_inner_steps,rho,T,count,ok_count,failed_count,elapsed_seconds_mean,solver_success_rate_best,solver_success_rate_mean,solver_success_rate_std,solver_success_rate_sem,solver_success_rate_ci95,greedy_success_rate_best,greedy_success_rate_mean,greedy_success_rate_std,greedy_success_rate_sem,greedy_success_rate_ci95,solver_avg_reward_best,solver_avg_reward_mean,solver_avg_reward_std,solver_avg_reward_sem,solver_avg_reward_ci95,greedy_avg_reward_best,greedy_avg_reward_mean,greedy_avg_reward_std,greedy_avg_reward_sem,greedy_avg_reward_ci95
stochastic,projection_dtheta,projection,zero,,10.0,0.001,10,1.0,3000,1,1,0,136.89531673997408,0.02,0.02,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,-2.12835,-2.12835,0.0,0.0,0.0,-2.0697000000000005,-2.0697000000000005,0.0,0.0,0.0
stochastic,projection_dtheta,projection,zero,,30.0,0.001,10,1.0,3000,1,1,0,145.41087090899237,0.02,0.02,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,-2.12835,-2.12835,0.0,0.0,0.0,-2.0697000000000005,-2.0697000000000005,0.0,0.0,0.0
stochastic,projection_dtheta,projection,zero,,100.0,0.001,10,1.0,3000,1,1,0,145.87476384197362,0.02,0.02,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,-2.12835,-2.12835,0.0,0.0,0.0,-2.0697000000000005,-2.0697000000000005,0.0,0.0,0.0
stochastic,projection_dtheta,projection,zero,,300.0,0.001,10,1.0,3000,1,1,0,146.63247562298784,0.02,0.02,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,-2.12835,-2.12835,0.0,0.0,0.0,-2.0697000000000005,-2.0697000000000005,0.0,0.0,0.0
stochastic,reg_fixed_baseline,reg_fixed,warm,3e-07,,0.001,10,1.0,3000,1,1,0,80.79227545700269,0.91,0.91,0.0,0.0,0.0,0.93,0.93,0.0,0.0,0.0,-0.1663000000000001,-0.1663000000000001,0.0,0.0,0.0,0.018750000000000062,0.018750000000000062,0.0,0.0,0.0
stochastic,reg_fixed_baseline,reg_fixed,zero,3e-07,,0.001,10,1.0,3000,1,1,0,142.7319906539633,0.02,0.02,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,-2.12835,-2.12835,0.0,0.0,0.0,-2.0697000000000005,-2.0697000000000005,0.0,0.0,0.0
stochastic,reg_fixed_inner_steps,reg_fixed,warm,3e-07,,0.001,10,1.0,3000,1,1,0,133.0913785570301,0.91,0.91,0.0,0.0,0.0,0.93,0.93,0.0,0.0,0.0,-0.1663000000000001,-0.1663000000000001,0.0,0.0,0.0,0.018750000000000062,0.018750000000000062,0.0,0.0,0.0
stochastic,reg_fixed_inner_steps,reg_fixed,warm,3e-07,,0.001,20,1.0,3000,1,1,0,147.37215812597424,0.87,0.87,0.0,0.0,0.0,0.93,0.93,0.0,0.0,0.0,-0.30605000000000016,-0.30605000000000016,0.0,0.0,0.0,0.018750000000000062,0.018750000000000062,0.0,0.0,0.0
stochastic,reg_fixed_inner_steps,reg_fixed,warm,3e-07,,0.001,5,1.0,3000,1,1,0,127.93697469698964,0.86,0.86,0.0,0.0,0.0,0.93,0.93,0.0,0.0,0.0,-0.2882000000000002,-0.2882000000000002,0.0,0.0,0.0,0.018750000000000062,0.018750000000000062,0.0,0.0,0.0
stochastic,reg_fixed_inner_steps,reg_fixed,warm,3e-07,,0.001,40,1.0,3000,1,1,0,144.19795278296806,0.74,0.74,0.0,0.0,0.0,0.93,0.93,0.0,0.0,0.0,-0.6008500000000003,-0.6008500000000003,0.0,0.0,0.0,0.018750000000000062,0.018750000000000062,0.0,0.0,0.0
stochastic,reg_fixed_inner_steps,reg_fixed,warm,3e-07,,0.001,80,1.0,3000,1,1,0,162.61297283903696,0.66,0.66,0.0,0.0,0.0,0.93,0.93,0.0,0.0,0.0,-0.6910000000000003,-0.6910000000000003,0.0,0.0,0.0,0.018750000000000062,0.018750000000000062,0.0,0.0,0.0
stochastic,reg_fixed_inner_steps,reg_fixed,zero,3e-07,,0.001,1,1.0,3000,1,1,0,139.72263219102751,0.03,0.03,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,-2.0830000000000006,-2.0830000000000006,0.0,0.0,0.0,-2.0697000000000005,-2.0697000000000005,0.0,0.0,0.0
stochastic,reg_fixed_inner_steps,reg_fixed,zero,3e-07,,0.001,2,1.0,3000,1,1,0,141.9159976200317,0.03,0.03,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,-2.0877500000000007,-2.0877500000000007,0.0,0.0,0.0,-2.0697000000000005,-2.0697000000000005,0.0,0.0,0.0
stochastic,reg_fixed_inner_steps,reg_fixed,zero,3e-07,,0.001,5,1.0,3000,1,1,0,137.97498045500834,0.03,0.03,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,-2.0964000000000005,-2.0964000000000005,0.0,0.0,0.0,-2.0697000000000005,-2.0697000000000005,0.0,0.0,0.0
stochastic,reg_fixed_inner_steps,reg_fixed,zero,3e-07,,0.001,20,1.0,3000,1,1,0,112.28464814298786,0.03,0.03,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,-2.1438000000000006,-2.1438000000000006,0.0,0.0,0.0,-2.0697000000000005,-2.0697000000000005,0.0,0.0,0.0
stochastic,reg_fixed_inner_steps,reg_fixed,zero,3e-07,,0.001,40,1.0,3000,1,1,0,74.72738775401376,0.03,0.03,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,-2.1736500000000007,-2.1736500000000007,0.0,0.0,0.0,-2.0697000000000005,-2.0697000000000005,0.0,0.0,0.0
stochastic,reg_fixed_inner_steps,reg_fixed,zero,3e-07,,0.001,10,1.0,3000,1,1,0,123.46422124304809,0.02,0.02,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,-2.12835,-2.12835,0.0,0.0,0.0,-2.0697000000000005,-2.0697000000000005,0.0,0.0,0.0
stochastic,reg_fixed_inner_steps,reg_fixed,zero,3e-07,,0.001,80,1.0,3000,1,1,0,89.30103021999821,0.02,0.02,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,-2.1840500000000005,-2.1840500000000005,0.0,0.0,0.0,-2.0697000000000005,-2.0697000000000005,0.0,0.0,0.0
