problem,ablation,policy_optimizer,policy_gradient,alpha,eta,rho,T,theta_lambda,theta_lr,theta_inner_steps,reinforce_samples,fisher_damping,cg_iters,cg_tol,count,ok_count,failed_count,elapsed_seconds_mean,solver_success_rate_best,solver_success_rate_mean,solver_success_rate_std,solver_success_rate_sem,solver_success_rate_ci95,greedy_success_rate_best,greedy_success_rate_mean,greedy_success_rate_std,greedy_success_rate_sem,greedy_success_rate_ci95,solver_avg_reward_best,solver_avg_reward_mean,solver_avg_reward_std,solver_avg_reward_sem,solver_avg_reward_ci95,greedy_avg_reward_best,greedy_avg_reward_mean,greedy_avg_reward_std,greedy_avg_reward_sem,greedy_avg_reward_ci95
deterministic,npg_exact_alpha_fisher,npg,exact,0.001,0.0001,0.03,3000,1e-07,0.001,10,4,1e-06,50,1e-10,1,1,0,393.4621476790053,0.11,0.11,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.08560000000000002,-0.08560000000000002,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
deterministic,npg_exact_alpha_fisher,npg,exact,0.001,0.0001,0.03,3000,1e-07,0.001,10,4,3e-06,50,1e-10,1,1,0,397.5586551390006,0.11,0.11,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.08560000000000002,-0.08560000000000002,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
deterministic,npg_exact_alpha_fisher,npg,exact,0.001,0.0001,0.03,3000,1e-07,0.001,10,4,1e-05,50,1e-10,1,1,0,408.6159397189622,0.11,0.11,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.08560000000000002,-0.08560000000000002,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
deterministic,npg_exact_alpha_fisher,npg,exact,0.001,0.0001,0.03,3000,1e-07,0.001,10,4,3e-05,50,1e-10,1,1,0,372.9057046159869,0.11,0.11,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.08560000000000002,-0.08560000000000002,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
deterministic,npg_exact_alpha_fisher,npg,exact,0.001,0.0001,0.03,3000,1e-07,0.001,10,4,0.0001,50,1e-10,1,1,0,436.3935921470402,0.11,0.11,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.08560000000000002,-0.08560000000000002,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
deterministic,npg_exact_alpha_fisher,npg,exact,0.001,0.0001,0.03,3000,1e-07,0.001,10,4,0.0003,50,1e-10,1,1,0,394.49911260197405,0.1,0.1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.096,-0.096,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
deterministic,npg_exact_alpha_fisher,npg,exact,0.001,0.0001,0.03,3000,1e-07,0.001,10,4,0.001,50,1e-10,1,1,0,371.3396401029895,0.1,0.1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.096,-0.096,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
deterministic,npg_exact_alpha_fisher,npg,exact,0.003,0.0001,0.03,3000,1e-07,0.001,10,4,0.01,50,1e-10,1,1,0,285.3488616370014,0.1,0.1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.096,-0.096,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
deterministic,npg_exact_alpha_fisher,npg,exact,0.0003,0.0001,0.03,3000,1e-07,0.001,10,4,1e-06,50,1e-10,1,1,0,374.2414290299639,0.08,0.08,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.1173,-0.1173,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
deterministic,npg_exact_alpha_fisher,npg,exact,0.0003,0.0001,0.03,3000,1e-07,0.001,10,4,3e-06,50,1e-10,1,1,0,384.00432824599557,0.08,0.08,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.1173,-0.1173,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
