run_idx,stage,metric,alpha,rho,eta,T,D_theta,state_weight_update,c_min,D_pi,per_run_metric_1
166,grid,0.8010638064134422,0.0001,0.5,0.01,2000,1.0,clipped,0.0,0.2,0.8010638064134422
167,grid,0.8010638064134422,0.0001,0.5,0.01,2000,1.0,clipped,0.1,0.2,0.8010638064134422
168,grid,0.8010638064134422,0.0001,0.5,0.01,2000,1.0,clipped,0.2,0.2,0.8010638064134422
169,grid,0.8010638064134422,0.0001,0.5,0.01,2000,2.0,clipped,0.0,0.4,0.8010638064134422
170,grid,0.8010638064134422,0.0001,0.5,0.01,2000,2.0,clipped,0.1,0.4,0.8010638064134422
171,grid,0.8010638064134422,0.0001,0.5,0.01,2000,2.0,clipped,0.2,0.4,0.8010638064134422
172,grid,0.8010638064134422,0.0001,1.0,0.01,2000,0.5,clipped,0.0,0.1,0.8010638064134422
173,grid,0.8010638064134422,0.0001,1.0,0.01,2000,0.5,clipped,0.1,0.1,0.8010638064134422
174,grid,0.8010638064134422,0.0001,1.0,0.01,2000,0.5,clipped,0.2,0.1,0.8010638064134422
175,grid,0.8010638064134422,0.0001,1.0,0.01,2000,1.0,clipped,0.0,0.2,0.8010638064134422
176,grid,0.8010638064134422,0.0001,1.0,0.01,2000,1.0,clipped,0.1,0.2,0.8010638064134422
177,grid,0.8010638064134422,0.0001,1.0,0.01,2000,1.0,clipped,0.2,0.2,0.8010638064134422
178,grid,0.8010638064134422,0.0001,1.0,0.01,2000,2.0,clipped,0.0,0.4,0.8010638064134422
179,grid,0.8010638064134422,0.0001,1.0,0.01,2000,2.0,clipped,0.1,0.4,0.8010638064134422
180,grid,0.8010638064134422,0.0001,1.0,0.01,2000,2.0,clipped,0.2,0.4,0.8010638064134422
181,grid,0.8010638064134422,0.001,0.001,0.0001,2000,0.5,clipped,0.0,1.0,0.8010638064134422
182,grid,0.8010638064134422,0.001,0.001,0.0001,2000,0.5,clipped,0.1,1.0,0.8010638064134422
183,grid,0.8010638064134422,0.001,0.001,0.0001,2000,0.5,clipped,0.2,1.0,0.8010638064134422
184,grid,0.8010638064134422,0.001,0.001,0.0001,2000,1.0,clipped,0.0,2.0,0.8010638064134422
185,grid,0.8010638064134422,0.001,0.001,0.0001,2000,1.0,clipped,0.1,2.0,0.8010638064134422
