sweep_family,problem,beta_update,T,alpha,eta,rho,beta_projection_radius,theta_lambda,theta_lr,theta_inner_steps,policy_optimizer,policy_gradient,reinforce_samples,state_weight_update,dataset_path,theta_mode,theta_optimizer,theta_start_mode,theta_include_beta_cov,num_trajectories,max_steps,seed,device,status,error,solver_success_rate,greedy_success_rate,solver_avg_reward,greedy_avg_reward,elapsed_seconds,run_idx
main_ablation,deterministic,fogas_diag,3000,0.001,0.0001,0.05,,1e-07,0.001,10,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,1.0,1.0,0.9247,0.9300000000000002,135.07679266500054,4
eta_rho_sweep,deterministic,fogas_full,3000,0.001,0.0001,0.1,,1e-07,0.001,10,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,1.0,1.0,0.9246000000000001,0.9300000000000002,137.876630734012,533
main_ablation,deterministic,fogas_diag,3000,0.001,0.0001,0.2,,1e-07,0.001,10,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,1.0,1.0,0.9246000000000001,0.9300000000000002,183.19769696204457,111
main_ablation,deterministic,fogas_diag,3000,0.001,0.0001,0.5,,1e-07,0.001,10,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,1.0,1.0,0.9243000000000001,0.9300000000000002,169.19723918201635,58
eta_rho_sweep,deterministic,fogas_full,3000,0.001,0.0003,0.01,,1e-07,0.001,10,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,1.0,1.0,0.9237000000000001,0.9300000000000002,152.58614600496367,558
main_ablation,deterministic,fogas_diag,3000,0.001,0.0001,0.01,,1e-07,0.001,10,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,1.0,1.0,0.9237000000000001,0.9300000000000002,181.71247969800606,105
eta_rho_sweep,deterministic,fogas_full,3000,0.001,0.0001,1.0,,1e-07,0.001,10,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,1.0,1.0,0.9236000000000001,0.9300000000000002,131.046489069995,531
main_ablation,deterministic,fogas_diag,3000,0.001,0.0002,0.5,,1e-07,0.001,10,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,1.0,1.0,0.9236000000000001,0.9300000000000002,171.8700953949592,75
main_ablation,deterministic,fogas_diag,3000,0.001,0.0001,0.3,,1e-07,0.001,10,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,1.0,1.0,0.9234,0.9300000000000002,162.23276389902458,39
main_ablation,deterministic,fogas_diag,3000,0.001,0.0002,0.05,,1e-07,0.001,10,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,1.0,1.0,0.9234,0.9300000000000002,202.35594509495422,123
main_ablation,deterministic,fogas_diag,3000,0.001,2e-05,0.01,,1e-07,0.001,10,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,1.0,1.0,0.9233000000000001,0.9300000000000002,136.13410499098245,5
main_ablation,deterministic,fogas_diag,3000,0.001,0.0002,0.075,,1e-07,0.001,10,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,1.0,1.0,0.9228000000000001,0.9300000000000002,171.14847936597653,69
main_ablation,deterministic,fogas_diag,3000,0.001,2e-05,0.2,,1e-07,0.001,10,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,1.0,1.0,0.9225000000000001,0.9300000000000002,141.73418690799735,8
main_ablation,deterministic,fogas_diag,3000,0.001,2e-05,0.003,,1e-07,0.001,10,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,1.0,1.0,0.9225,0.9300000000000002,174.3259054250084,87
main_ablation,deterministic,fogas_diag,3000,0.001,0.0002,0.15,,1e-07,0.001,10,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,1.0,1.0,0.9224999999999999,0.9300000000000002,183.02559103595559,109
main_ablation,deterministic,fogas_diag,3000,0.001,2e-05,0.001,,1e-07,0.001,10,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,1.0,1.0,0.9224000000000001,0.9300000000000002,171.67515052197268,73
main_ablation,deterministic,fogas_diag,3000,0.001,0.0002,0.03,,1e-07,0.001,10,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,1.0,1.0,0.9216000000000001,0.9300000000000002,147.1941188700148,20
