problem,ablation,theta_mode,theta_start_mode,theta_lambda,D_theta,theta_lr,theta_inner_steps,rho,T,checkpoint_step,count,solver_success_rate_best,solver_success_rate_mean,solver_success_rate_std,solver_success_rate_sem,solver_success_rate_ci95,greedy_success_rate_best,greedy_success_rate_mean,greedy_success_rate_std,greedy_success_rate_sem,greedy_success_rate_ci95,solver_avg_reward_best,solver_avg_reward_mean,solver_avg_reward_std,solver_avg_reward_sem,solver_avg_reward_ci95,greedy_avg_reward_best,greedy_avg_reward_mean,greedy_avg_reward_std,greedy_avg_reward_sem,greedy_avg_reward_ci95
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,1040,1,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18969999999999998,-0.18969999999999998,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,1060,1,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18969999999999998,-0.18969999999999998,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,1080,1,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18969999999999998,-0.18969999999999998,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,1100,1,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18969999999999998,-0.18969999999999998,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,1120,1,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18969999999999998,-0.18969999999999998,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,1140,1,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18969999999999998,-0.18969999999999998,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,1160,1,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18969999999999998,-0.18969999999999998,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,1180,1,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18969999999999998,-0.18969999999999998,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,1200,1,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18969999999999998,-0.18969999999999998,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,1220,1,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18969999999999998,-0.18969999999999998,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,1240,1,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18969999999999998,-0.18969999999999998,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,1260,1,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18969999999999998,-0.18969999999999998,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,1280,1,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18969999999999998,-0.18969999999999998,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,1300,1,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18969999999999998,-0.18969999999999998,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,1320,1,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18969999999999998,-0.18969999999999998,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,1340,1,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18969999999999998,-0.18969999999999998,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,1360,1,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18969999999999998,-0.18969999999999998,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,1380,1,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18969999999999998,-0.18969999999999998,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,1400,1,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18969999999999998,-0.18969999999999998,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,1420,1,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18969999999999998,-0.18969999999999998,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,1440,1,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18969999999999998,-0.18969999999999998,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
