alpha,eta,rho,fisher_damping,T,theta_lr,D_theta,theta_mode,theta_optimizer,theta_inner_steps,theta_start_mode,theta_include_beta_cov,d_theta_scale,beta_update,policy_optimizer,policy_gradient,cg_iters,cg_tol,state_weight_update,seed,device,status,error,elapsed_seconds,solver_success_rate,solver_avg_return,solver_v_x0,solver_v_gap,greedy_success_rate,greedy_avg_return,greedy_v_x0,greedy_v_gap,final_total_loss,final_policy_objective,final_beta_objective,final_q_objective,final_theta_norm,final_policy_grad_norm,final_beta_grad_norm,final_theta_grad_norm,run_idx
0.0002,0.0001,0.001,0.01,1000,0.01,0.001,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,49.317591042257845,0.91,-0.7911113820161333,1.0183685962223294,1.8431608162154105,0.0,-0.9948462247926807,-1.0000000000000002,2.8868400000000003,0.0009813720019924213,-1.640747994641799e-05,0.0009980436989532374,-1.709774834350707e-05,0.0010000000000000002,2.3679912827490308e-07,0.019895970739360027,0.050379301257364714,260
0.0002,0.0001,0.001,0.01,1000,0.001,0.001,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,53.237630965188146,0.91,-0.7911113820161333,1.0183685962223294,1.8431608162154105,0.0,-0.9948462247926807,-1.0000000000000002,2.8868400000000003,0.0009813720019924213,-1.6407479946417984e-05,0.0009980436989532374,-1.709774834350707e-05,0.001,2.3679912827490302e-07,0.019895970739360027,0.050379301257364714,253
0.0002,0.0001,0.001,0.01,1000,0.1,0.001,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,53.66049370029941,0.91,-0.7911113820161333,1.0183685962223294,1.8431608162154105,0.0,-0.9948462247926807,-1.0000000000000002,2.8868400000000003,0.0009813720019924213,-1.6407479946417984e-05,0.0009980436989532374,-1.709774834350707e-05,0.0009999999999999998,2.3679912827490302e-07,0.019895970739360027,0.050379301257364714,272
0.0002,0.0001,0.001,0.001,1000,0.001,0.001,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,48.90962233906612,0.91,-0.7911113820161333,1.018368569843684,1.8431608243255293,0.0,-0.9948462247926807,-1.0000000000000002,2.8868400000000003,0.0009813720020406473,-1.6407479910650452e-05,0.0009980436990039679,-1.7097748307945037e-05,0.001,2.367991279481105e-07,0.01989597074005683,0.05037930125711547,97
0.0002,0.0001,0.001,0.001,1000,1.0,0.001,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,51.832867284305394,0.91,-0.7911113820161333,1.018368569843684,1.8431608243255293,0.0,-0.9948462247926807,-1.0000000000000002,2.8868400000000003,0.0009813720020406473,-1.6407479910650452e-05,0.0009980436990039679,-1.7097748307945037e-05,0.001,2.367991279481105e-07,0.01989597074005683,0.05037930125711547,135
0.0002,0.0001,0.001,0.001,1000,0.1,0.001,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,53.83793409541249,0.91,-0.7911113820161333,1.018368569843684,1.8431608243255293,0.0,-0.9948462247926807,-1.0000000000000002,2.8868400000000003,0.0009813720020406473,-1.6407479910650452e-05,0.0009980436990039679,-1.7097748307945034e-05,0.001,2.367991279481105e-07,0.01989597074005683,0.05037930125711547,128
0.0002,0.0001,0.001,0.001,1000,0.01,0.001,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,54.527787416707724,0.91,-0.7911113820161333,1.018368569843684,1.8431608243255293,0.0,-0.9948462247926807,-1.0000000000000002,2.8868400000000003,0.0009813720020406473,-1.640747991065045e-05,0.0009980436990039679,-1.7097748307945034e-05,0.001,2.367991279481105e-07,0.01989597074005683,0.05037930125711547,106
0.0002,0.0001,0.001,0.0001,1000,0.001,0.001,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,51.956831448245794,0.91,-0.7911113820161333,1.018368565999816,1.8431608254092915,0.0,-0.9948462247926808,-1.0000000000000002,2.8868400000000003,0.0009813720020472,-1.640747990576098e-05,0.0009980436990109,-1.7097748303082214e-05,0.001,2.3679912789457218e-07,0.0198959707401501,0.0503793012570819,6
0.0002,0.0001,0.001,0.0001,1000,0.1,0.001,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,53.392622775863856,0.91,-0.7911113820161333,1.018368565999816,1.8431608254092915,0.0,-0.9948462247926808,-1.0000000000000002,2.8868400000000003,0.0009813720020472,-1.6407479905760985e-05,0.0009980436990109,-1.7097748303082214e-05,0.001,2.3679912789457213e-07,0.0198959707401501,0.0503793012570819,12
0.0002,0.0001,0.001,0.0001,1000,0.01,0.001,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,53.51048081321642,0.91,-0.7911113820161333,1.018368565999816,1.8431608254092915,0.0,-0.9948462247926808,-1.0000000000000002,2.8868400000000003,0.0009813720020472,-1.6407479905760985e-05,0.0009980436990109,-1.7097748303082217e-05,0.001,2.367991278945722e-07,0.0198959707401501,0.0503793012570819,14
0.0002,0.0001,0.001,0.0001,1000,1.0,0.001,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,55.0596001711674,0.91,-0.7911113820161333,1.018368565999816,1.8431608254092915,0.0,-0.9948462247926808,-1.0000000000000002,2.8868400000000003,0.0009813720020472,-1.6407479905760985e-05,0.0009980436990109,-1.7097748303082214e-05,0.001,2.3679912789457213e-07,0.0198959707401501,0.0503793012570819,22
0.0002,0.0001,0.001,0.0001,1000,0.1,10.0,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,55.41870158398524,0.91,-0.7911113820161333,1.018368563494721,1.8431662208417023,0.0,-0.9948462247926808,-1.0000000000000002,2.8868400000000003,-0.169597561251053,-0.1797709814161669,0.0004538149812255,-0.1689504884645186,10.0,2.4212662505217032e-05,0.0139299698940518,0.0495006556816744,26
0.0002,0.0001,0.001,0.001,1600,0.001,0.001,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,83.77130102505907,0.91,-0.7911113820161333,1.01836844658558,1.8431608712781566,0.0,-0.9948462247926807,-1.0000000000000002,2.8868400000000003,0.0015807518831283186,-1.6247026941945537e-05,0.0015974216917303094,-1.7351679385598713e-05,0.001,3.7900963139514986e-07,0.01989597161379695,0.05060922082758312,171
