alpha,eta,rho,T,theta_lr,theta_inner_steps,theta_mode,theta_lambda,D_theta,theta_optimizer,theta_start_mode,theta_include_beta_cov,beta_update,policy_optimizer,policy_gradient,reinforce_samples,state_weight_update,intended_prob,dataset_path,num_trajectories,max_steps,seed,device,status,error,elapsed_seconds,solver_success_rate,solver_avg_return,solver_v_x0,solver_v_gap,greedy_success_rate,greedy_avg_return,greedy_v_x0,greedy_v_gap,final_total_loss,final_policy_objective,final_beta_objective,final_q_objective,final_theta_norm,final_policy_grad_norm,final_beta_grad_norm,final_theta_grad_norm,run_idx
0.0005,3e-05,0.1,5000,0.01,20,projection,,0.1,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:4,ok,,188.30507549100005,0.05,-1.3244114085806948,-1.341506231020999,1.4115654942714713,0.0,-0.9948462247926808,-1.0000000000000002,2.2342674880264077,0.0412215972158571,-0.0006615181690465,0.0418991296065851,-0.0008164456087224,0.1,4.761642529100961e-08,0.0272829101665733,0.0504177816784621,45
0.0005,3e-05,0.1,5000,0.03,10,projection,,1.0,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:4,ok,,49.140590902999975,0.04,-1.3612821219048312,-1.388260157464448,1.4812383435580083,0.0,-0.9948462247926807,-1.0000000000000002,2.2342674880264073,0.03211024501962622,-0.007040464198720948,0.03922667999627118,-0.008481800882989464,1.0,2.182366031278101e-06,0.025885244697572283,0.050379855416093126,59
0.0005,3e-05,0.1,5000,0.03,20,projection,,1.0,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:0,ok,,90.08493613600149,0.04,-1.3612821219048312,-1.3881031156483647,1.481155591031118,0.0,-0.9948462247926807,-1.0000000000000002,2.2342674880264073,0.032106734104585276,-0.0070416200881706055,0.0392262603059031,-0.008485487156663864,1.0,1.2034035914452374e-06,0.025873544557069292,0.050379799764504477,75
0.0005,3e-05,0.1,5000,0.003,10,projection,,1.0,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:0,ok,,42.42357234800147,0.04,-1.3612821219048312,-1.3883058728337652,1.4811622893414644,0.0,-0.9948462247926808,-1.0000000000000002,2.234267488026408,0.032129086496993,-0.0070218691134516,0.0392308641143466,-0.0084644502080547,1.0,2.2118945130480702e-06,0.0258689794026804,0.0503798756540945,11
0.0005,3e-05,0.1,5000,0.003,20,projection,,1.0,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:4,ok,,73.0394044420027,0.04,-1.3612821219048312,-1.3883478143832508,1.4812080094895212,0.0,-0.9948462247926808,-1.0000000000000002,2.234267488026408,0.0321133874246428,-0.0070330757212081,0.0392269537389885,-0.00847840571544,1.0,6.881667873947548e-07,0.025863999380159,0.0503798605894388,21
0.0005,3e-05,0.1,5000,0.01,10,projection,,1.0,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:1,ok,,124.35922858899994,0.04,-1.3612821219048312,-1.3883506777746972,1.4812025686562134,0.0,-0.9948462247926808,-1.0000000000000002,2.2342674880264077,0.0321103499347028,-0.0070338769872054,0.0392261696570873,-0.0084810705673961,1.0000000000000002,1.155929686181157e-06,0.0258620358866647,0.0503798579450557,36
0.0005,3e-05,0.1,5000,0.01,20,projection,,1.0,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:5,ok,,202.4262233239997,0.04,-1.3612821219048312,-1.3883281201220974,1.481265911836512,0.0,-0.9948462247926808,-1.0000000000000002,2.2342674880264077,0.032120681113476,-0.0070269133994777,0.039228159493931,-0.0084711211257097,1.0,1.0669908022842767e-06,0.0258696454246651,0.0503798701884242,47
0.0005,3e-05,0.1,5000,0.03,20,reg_fixed,1e-07,,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:2,ok,,65.86473573900003,0.0,-1.0182274610073814,-1.0194921687731433,0.5932001564053025,0.0,-0.9948462247926807,-1.0000000000000002,0.4254210297433204,9.067072426116594,24.36832651479977,-11.102687316930679,10.233401095447402,4327.040541075742,9.42183602745625,7.790545966916629,0.03236173633942332,63
0.0005,3e-05,0.1,5000,0.1,10,reg_fixed,1e-07,,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:6,ok,,42.98112721399957,0.0,-1.0240049069214292,-1.0190118798187504,0.493679335552921,0.0,-0.9948462247926807,-1.0000000000000002,0.4254210297433204,-18.864423834886058,446.3111372489816,-42.600037965428754,-17.504691781132173,4882.773788491308,10.743039930794083,8.38296169094321,0.038949672588099504,69
0.0005,3e-05,0.1,5000,0.03,20,reg_fixed,1e-06,,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:3,ok,,66.0151106120029,0.0,-1.0834329280744588,-1.0863179091657933,0.5096533495984664,0.0,-0.9948462247926807,-1.0000000000000002,0.4254210297433204,-3.4341118443231036,99.19715934603667,-12.821935003791912,-2.669865687882123,1125.6826057258836,7.03577294216828,6.611919308532544,0.018746342594239008,62
