problem,ablation,beta_update,T,alpha,eta,rho,theta_mode,theta_lambda,D_theta,theta_lr,theta_inner_steps,theta_optimizer,theta_start_mode,theta_include_beta_cov,policy_optimizer,policy_gradient,reinforce_samples,fisher_damping,cg_iters,cg_tol,state_weight_update,intended_prob,dataset_path,seed,checkpoint_idx,checkpoint_step,num_trajectories,max_steps,eval_seed,solver_success_rate,solver_avg_return,solver_v_x0,solver_v_gap,greedy_success_rate,greedy_avg_return,greedy_v_x0,greedy_v_gap,total_loss,policy_objective,beta_objective,q_objective,theta_norm,policy_grad_norm,beta_grad_norm,theta_grad_norm,status,error,run_idx
deterministic_10grid,projection_dtheta,fogas_full,10000,0.001,3e-05,1.0,projection,,100.0,0.01,10,adam,zero,False,adam,exact,4,0.001,50,1e-10,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,42,15,7500,100,50,10000,0.02,-1.478708795630025,-1.4897211470820393,1.7537034033214416,0.0,-0.9948462247926807,-1.0000000000000002,2.2342674880264073,0.041752059897244724,-0.00984722659103307,0.051752055920716994,-0.01254399048616384,1.378118937185882,4.148775570773071e-06,0.025274348629783512,0.050566129095679924,ok,,522
deterministic_10grid,projection_dtheta,fogas_full,10000,0.001,3e-05,1.0,projection,,100.0,0.01,10,adam,zero,False,adam,exact,4,0.001,50,1e-10,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,42,16,8000,100,50,10000,0.01,-1.4790089047764314,-1.4947406550658693,1.7705157796807793,0.0,-0.9948462247926807,-1.0000000000000002,2.2342674880264073,0.04480735077273649,-0.009827671856824077,0.05480734679759999,-0.012694310945246187,1.379328652399488,4.446073788148382e-06,0.025290758523131476,0.050615590575362086,ok,,522
deterministic_10grid,projection_dtheta,fogas_full,10000,0.001,3e-05,1.0,projection,,100.0,0.01,10,adam,zero,False,adam,exact,4,0.001,50,1e-10,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,42,17,8500,100,50,10000,0.0,-1.5082003837593319,-1.4993735746151962,1.7862885042495478,0.0,-0.9948462247926807,-1.0000000000000002,2.2342674880264073,0.047817161092412144,-0.009812028920823515,0.05781715711864505,-0.012842389075595397,1.3769416071518772,8.944870516691002e-06,0.025309022125784075,0.050665939524732466,ok,,522
deterministic_10grid,projection_dtheta,fogas_full,10000,0.001,3e-05,1.0,projection,,100.0,0.01,10,adam,zero,False,adam,exact,4,0.001,50,1e-10,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,42,18,9000,100,50,10000,0.0,-1.509641880472447,-1.5036546876896868,1.8010549209854632,0.0,-0.9948462247926807,-1.0000000000000002,2.2342674880264073,0.050782161142765396,-0.009801796138735466,0.060782157170346275,-0.012988261724552046,1.3753622292530572,1.5680348476265218e-06,0.02526330566963677,0.050717105339751864,ok,,522
deterministic_10grid,projection_dtheta,fogas_full,10000,0.001,3e-05,1.0,projection,,100.0,0.01,10,adam,zero,False,adam,exact,4,0.001,50,1e-10,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,42,19,9500,100,50,10000,0.0,-1.510782599700704,-1.5076143872457322,1.8148685502785014,0.0,-0.9948462247926807,-1.0000000000000002,2.2342674880264073,0.05370301476558687,-0.009797773577640145,0.06370301079449468,-0.013131967007346125,1.3738335718500099,9.47364610200381e-06,0.025337334549967064,0.050769021698039866,ok,,522
deterministic_10grid,projection_dtheta,fogas_full,10000,0.001,3e-05,1.0,projection,,100.0,0.01,10,adam,zero,False,adam,exact,4,0.001,50,1e-10,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,42,20,10000,100,50,10000,0.0,-1.5151720636723838,-1.511279700176124,1.8277751222290328,0.0,-0.9948462247926807,-1.0000000000000002,2.2342674880264073,0.05658037815294014,-0.00980631741845353,0.06658037418315421,-0.013273538438549821,1.375625536564431,9.207825432792455e-06,0.025380908480271875,0.05082162545761941,ok,,522
deterministic_10grid,projection_dtheta,fogas_full,10000,0.001,3e-05,1.0,projection,,3.0,0.01,10,adam,zero,False,adam,exact,4,0.001,50,1e-10,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,42,1,500,100,50,10000,0.0,-1.2251417001029583,-1.244820494761576,1.2238854123217362,0.0,-0.9948462247926807,-1.0000000000000002,2.2342674880264073,-0.006201058207932221,-0.010010599275911032,0.0037989377935449538,-0.010185910574842479,1.2155767075297264,9.167272073548496e-07,0.02492293923445303,0.050020027237628654,ok,,523
deterministic_10grid,projection_dtheta,fogas_full,10000,0.001,3e-05,1.0,projection,,3.0,0.01,10,adam,zero,False,adam,exact,4,0.001,50,1e-10,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,42,2,1000,100,50,10000,0.03,-1.317037771575006,-1.310719321969972,1.3729716954776632,0.0,-0.9948462247926807,-1.0000000000000002,2.2342674880264073,-0.0024332526052228878,-0.009994508630302386,0.007566743397983947,-0.01037063043403398,1.3512753965464877,5.075766131495462e-07,0.025264380620729273,0.05004624157200727,ok,,523
deterministic_10grid,projection_dtheta,fogas_full,10000,0.001,3e-05,1.0,projection,,3.0,0.01,10,adam,zero,False,adam,exact,4,0.001,50,1e-10,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,42,3,1500,100,50,10000,0.03,-1.3085382466572235,-1.3509686811060346,1.4389932287889375,0.0,-0.9948462247926807,-1.0000000000000002,2.2342674880264073,0.0012796329670297403,-0.009981091113387734,0.011279628971948391,-0.010553192100663059,1.3787536765722817,7.211535456431582e-07,0.025292423647015505,0.05007508036716756,ok,,523
deterministic_10grid,projection_dtheta,fogas_full,10000,0.001,3e-05,1.0,projection,,3.0,0.01,10,adam,zero,False,adam,exact,4,0.001,50,1e-10,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,42,4,2000,100,50,10000,0.02,-1.373409876855329,-1.3781302508415605,1.4831482472046753,0.0,-0.9948462247926807,-1.0000000000000002,2.2342674880264073,0.004937402994280568,-0.00996836735166944,0.014937399000885516,-0.010733065544935945,1.3879877854161404,1.0002172948293607e-06,0.025299618267732176,0.05010628981743892,ok,,523
