alpha,eta,rho,T,theta_lr,theta_inner_steps,theta_lambda,batch_size,hidden_sizes,beta_reg,theta_mode,theta_optimizer,theta_start_mode,beta_update,policy_optimizer,policy_gradient,nn_seed,seed,device,status,error,elapsed_seconds,greedy_mean_steps,greedy_success_rate,greedy_avg_env_return,solver_mean_steps,solver_success_rate,solver_avg_env_return,final_total_loss,final_policy_objective,final_beta_objective,final_q_objective,final_theta_norm,final_policy_grad_norm,final_beta_grad_norm,final_theta_grad_norm,run_idx
3e-05,1e-07,0.02,20000,0.001,10,1e-11,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:1,ok,,936.8953050860437,200.0,0.0,-200.0,200.0,0.0,-200.0,-344.16446069708957,-334.3853459099453,-4.011574176894952,-344.1660726143787,959.5282159891412,0.301914097673387,34.55809205745152,0.42144742011163905,234
3e-05,1e-08,0.02,20000,0.0001,10,1e-10,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:2,ok,,936.9877812410123,200.0,0.0,-200.0,200.0,0.0,-200.0,-37.046585055815726,-13.590808076439892,-2.890322439991886,-36.979668128005,192.23194933726708,2.9941553990931674e-05,38.984292473610374,0.44639603201686484,27
3e-05,1e-08,0.005,20000,0.0001,10,1e-09,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:3,ok,,937.0101289220038,200.0,0.0,-200.0,200.0,0.0,-200.0,-37.04660098356049,-13.590864980396425,-2.8903383678408123,-36.979684241896095,149.31178108115077,2.9893388318057644e-05,38.98476062217033,0.44639615224041485,2
3e-05,3e-08,0.02,20000,0.001,10,1e-11,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:1,ok,,937.0344903410296,200.0,0.0,-200.0,200.0,0.0,-200.0,-326.7738622805344,-465.3919794613463,13.381385828808746,-326.816239962915,925.6689849323135,1.4298930291550682,561.6163077082255,0.9792756003843957,138
3e-05,3e-08,0.5,20000,0.0003,10,1e-11,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:1,ok,,937.0829414119944,200.0,0.0,-200.0,200.0,0.0,-200.0,-99.6164245417185,-76.21082334176594,2.539900080347428,-99.59642084105425,395.1528692094211,2.2217670926319486,695.8984132565427,0.42150552317272855,178
3e-05,1e-07,0.02,20000,0.0003,10,1e-12,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:0,ok,,937.1130954480032,200.0,0.0,-200.0,200.0,0.0,-200.0,-105.05958640428807,-92.61366597309082,-2.9055345579988696,-105.05503533707247,382.31077176645994,1.2248024315419783,62.48195229857663,0.42414988037638374,225
3e-05,1e-08,0.005,20000,0.0001,10,1e-08,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:4,ok,,937.1930373430077,200.0,0.0,-200.0,200.0,0.0,-200.0,-37.04658832524799,-13.591146052734032,-2.890325710643438,-36.979672499770686,116.1757565208233,2.9736921174741678e-05,38.98557312668043,0.4463952651816573,3
3e-05,1e-07,0.005,20000,0.001,10,1e-11,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:1,ok,,937.2469106829958,200.0,0.0,-200.0,200.0,0.0,-200.0,-344.2376089335368,-333.88903590188573,-4.0831906501832105,-344.2378759772441,976.3359022043153,0.2695945764315319,41.98617073945189,0.44242729892287747,210
3e-05,3e-08,0.5,20000,0.0003,10,1e-12,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:0,ok,,937.2482345569879,200.0,0.0,-200.0,200.0,0.0,-200.0,-99.61694376158927,-76.24722956671476,2.539380864108129,-99.59696751962954,397.4771390061901,2.2451093233032053,698.7833858514709,0.40292620730799134,177
3e-05,1e-08,0.5,20000,0.001,10,1e-11,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:1,ok,,937.257377055008,200.0,0.0,-200.0,200.0,0.0,-200.0,-353.99682221640177,-298.30935350555416,-13.84128812100658,-353.9864698065752,947.9206873983568,6.717509070727004,412.2596349517242,0.4865377279340118,90
3e-05,1e-07,0.02,20000,0.0001,10,1e-12,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:0,ok,,937.2701990170171,200.0,0.0,-200.0,200.0,0.0,-200.0,-30.78001896698828,-32.0710833071482,3.3762457082893587,-30.788061309456335,212.14492784271718,0.2695672846111276,164.84454012106667,0.4749047130236205,217
3e-05,3e-08,0.005,20000,0.0001,10,1e-11,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:1,ok,,937.3103718800121,200.0,0.0,-200.0,200.0,0.0,-200.0,-36.75815270815885,-16.027999036013536,-2.601890115104056,-36.69917758590864,203.5369549660596,2.5715521196670153e-05,37.10502633250418,0.4430101168910791,98
3e-05,1e-08,0.005,20000,0.0003,10,1e-12,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:0,ok,,937.3143070149818,200.0,0.0,-200.0,200.0,0.0,-200.0,-109.86477740744724,-47.27583345914982,-7.70845308667475,-109.80508148585957,418.5494090442661,7.527578504357653e-05,111.15367456709261,0.4431843990627862,11
3e-05,1e-07,0.1,20000,0.0001,10,1e-09,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:3,ok,,937.3179688450182,200.0,0.0,-200.0,200.0,0.0,-200.0,-30.805813689130822,-32.11963773444216,3.35045102122639,-30.813903869605213,198.98688943218536,0.26377848482360383,163.65167554144517,0.4489136684232186,244
3e-05,1e-07,0.02,20000,0.0003,10,1e-11,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:1,ok,,937.3240546169691,200.0,0.0,-200.0,200.0,0.0,-200.0,-105.38285482093568,-95.6965439092204,-3.2335903127909456,-105.38136393224828,365.2036994434104,3.951314017226947,73.78453268868383,0.4279488542413837,226
3e-05,3e-08,0.1,20000,0.001,10,1e-12,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:0,ok,,937.4446389899822,200.0,0.0,-200.0,200.0,0.0,-200.0,-348.27711937562316,-382.2066039201903,-8.144871331814107,-348.2962605384787,912.6944405038442,21.65846045642048,190.62594130529874,4.016377722647016,161
3e-05,3e-08,0.005,20000,0.0003,10,1e-11,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:1,ok,,937.5202889869979,200.0,0.0,-200.0,200.0,0.0,-200.0,-99.60585237734891,-76.22387694945155,2.5504722373942155,-99.58586628078356,395.3506690874252,2.2201824285058236,701.3368653659672,0.40379986094863096,106
3e-05,1e-08,0.1,20000,0.0001,10,1e-09,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:3,ok,,937.524943892,200.0,0.0,-200.0,200.0,0.0,-200.0,-37.046486275330444,-13.591256021213376,-2.8902236596519115,-36.97957080396792,149.28226083446089,2.9895340208482565e-05,38.98382873490433,0.4463947820860222,51
3e-05,1e-08,0.5,20000,0.001,10,1e-12,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:0,ok,,937.5743943630077,200.0,0.0,-200.0,200.0,0.0,-200.0,-346.0424117476409,-295.4871886748586,-5.887301192532809,-346.0279231963115,918.2087977043063,0.311655182549716,551.4316069074011,0.42007625529046716,89
3e-05,1e-08,0.02,20000,0.0001,10,1e-11,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:1,ok,,937.589630011993,200.0,0.0,-200.0,200.0,0.0,-200.0,-37.04658523795369,-13.590795800076393,-2.890322622118146,-36.979668270133175,198.54489546467443,2.994204719775098e-05,38.984334297578705,0.4463960411732801,26
3e-05,3e-08,0.1,20000,0.0001,10,1e-11,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:1,ok,,937.6061309060315,200.0,0.0,-200.0,200.0,0.0,-200.0,-36.757846809822986,-16.02940363343436,-2.60158421688382,-36.698876253130116,203.51480193026904,2.5722815801440784e-05,37.10304960691607,0.4430064777381969,146
3e-05,1e-07,0.1,20000,0.0001,10,1e-11,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:1,ok,,937.6063533230335,200.0,0.0,-200.0,200.0,0.0,-200.0,-30.771306242450752,-32.03567623919014,3.384958402277515,-30.7793012895376,212.1248456263748,0.2713945320484408,165.47306638193214,0.4345508551088075,241
3e-05,1e-08,0.005,20000,0.001,10,1e-11,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:1,ok,,937.6303144030098,200.0,0.0,-200.0,200.0,0.0,-200.0,-351.4767087701139,-302.3196831871582,-11.32893970512419,-351.46836793371557,936.8375584788481,28.16383897862007,664.9659205629463,1.217509453099988,18
3e-05,1e-08,0.02,20000,0.001,10,1e-12,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:0,ok,,937.7554151889926,200.0,0.0,-200.0,200.0,0.0,-200.0,-354.7817223650859,-316.4747250450904,-14.641747363509305,-354.782170662368,946.3345352693779,2.6621618444525654,286.5305771438323,0.6839051355733768,41
3e-05,3e-08,0.005,20000,0.0003,10,1e-09,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:3,ok,,937.7757943519973,200.0,0.0,-200.0,200.0,0.0,-200.0,-102.12143340680801,-75.19873432433397,0.03489275505982234,-102.09950185469914,333.49414063339174,1.1436575150247943,528.3421939301003,5.2880311344039965,108
3e-05,1e-08,0.5,20000,0.001,10,1e-10,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:2,ok,,937.8254497580056,200.0,0.0,-200.0,200.0,0.0,-200.0,-349.7482372577452,-277.81076847023644,-9.594393806562396,-349.7418527329922,927.5427042703519,0.36913974826714285,200.3345493056347,0.5392626412394594,91
3e-05,3e-08,0.5,20000,0.0001,10,1e-12,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:0,ok,,938.0163089169655,200.0,0.0,-200.0,200.0,0.0,-200.0,-36.75655863847391,-16.035297631412334,-2.6002960460564055,-36.69760723971309,203.92108786652247,2.575595751655378e-05,37.09499931360382,0.44299115276630674,169
3e-05,1e-08,0.02,20000,0.0003,10,1e-12,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:0,ok,,938.0281620300084,200.0,0.0,-200.0,200.0,0.0,-200.0,-109.8647284814856,-47.27602328639864,-7.708404160415255,-109.80503276612862,418.26519559558307,7.527541980790601e-05,111.15360769970225,0.4431842022235252,33
3e-05,1e-08,0.02,20000,0.0003,10,1e-11,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:1,ok,,938.0430199019902,200.0,0.0,-200.0,200.0,0.0,-200.0,-109.86470457478195,-47.27669201796529,-7.708380255459728,-109.80500958833021,414.3705922613617,7.54264140132212e-05,111.13393481703797,0.44318410398550573,34
3e-05,1e-07,0.005,20000,0.0003,10,1e-12,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:0,ok,,938.096149496967,200.0,0.0,-200.0,200.0,0.0,-200.0,-105.20345301182793,-92.24163784867115,-3.0493623093039393,-105.19779467374212,389.00553680121396,1.8670160653890953,90.25561651429369,0.7561402879564763,201
3e-05,1e-07,0.02,20000,0.0003,10,1e-10,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:2,ok,,938.1006849780097,200.0,0.0,-200.0,200.0,0.0,-200.0,-87.01343728477525,-233.85005700684616,15.142891957049573,-87.15732343065062,408.4399108760994,0.030029062231423147,184.3142924804876,0.35196523055888146,227
3e-05,3e-08,0.005,20000,0.0003,10,1e-12,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:0,ok,,938.1192295179935,200.0,0.0,-200.0,200.0,0.0,-200.0,-99.42275341076625,-76.32884644244403,2.7335712075080165,-99.40305742523746,399.6235813324472,2.2526249496329447,720.759410535329,0.4012263890274385,105
3e-05,3e-08,0.5,20000,0.0003,10,1e-09,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:3,ok,,938.120271781052,200.0,0.0,-200.0,200.0,0.0,-200.0,-102.98795716587834,-75.16496848680123,-0.831629619154091,-102.96600765125521,334.6256673139759,0.9607055659920906,462.44762094000646,3.4227270691058207,180
3e-05,3e-08,0.1,20000,0.0003,10,1e-11,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:1,ok,,938.2042898840155,200.0,0.0,-200.0,200.0,0.0,-200.0,-99.60378543927797,-76.23296175267427,2.552539181450071,-99.58381156690291,396.56403120057365,2.2169188850681105,700.8742331634285,0.4039105983129847,154
