run_idx,algorithm,dataset_size,epsilon,proportions,proportion_key,reset_mode,extra_terminal_steps,seed,status,error,feature_coverage,greedy_on_data_quality,greedy_optimal_states_quality,greedy_avg_reward,greedy_success_rate,greedy_v_x0,greedy_v_gap,solver_on_data_quality,solver_optimal_states_quality,solver_avg_reward,solver_success_rate,solver_v_x0,solver_v_gap,elapsed_seconds,critic_update,alpha,actor_lr,ridge,T,batch_size,critic_lr,critic_inner_steps,device,torch_threads,final_objective,final_actor_loss,final_critic_loss,final_critic_objective,final_theta_norm,final_psi_norm,final_policy_grad_norm,final_actor_delta_mean,final_actor_delta_std,final_critic_delta_mean,final_critic_delta_std,done_fraction
13,Primal AlgaeDICE,12000,0.3,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.8127157949595638,1.9852594634018108e-17,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,2.748506962499439e-18,0.0625013310741735,0.03629856449705996,-0.9540724592309764,0.95,-0.9376956778497461,0.05289029787043518,18.683608555002138,closed_form,0.03,0.03,1e-10,3000,,0.001,50,cuda:4,1,-0.5093071497203824,0.5093071497203824,-0.3622508577580903,-0.5091663002362721,9388.784026001933,51.919806194736424,0.6687256227661139,0.029017209936006167,0.08040169448605884,0.029038333309372576,0.08044279093413477,0.11858333333333333
16,Primal AlgaeDICE,4000,0.5,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,2.3919420036736225,0.028243377723880473,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,2.748506962499439e-18,0.06118410390422539,0.030999445668019262,-0.9354134204533497,0.94,-0.9312143633109037,0.043195158741869785,18.50494424701901,closed_form,0.03,0.03,1e-10,3000,,0.001,50,cuda:7,1,-0.4197700730929349,0.4197700730929349,-0.28466526610034953,-0.4195754900546323,8997.006967462548,52.394673914491996,0.5880573682459671,0.028995470918725025,0.05070984512453579,0.029149800010346567,0.05073070042464018,0.08425
10,Primal AlgaeDICE,20000,0.1,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.5568760149344851,0.8634581219793253,0.6468180626188853,-0.9948462247926807,0.0,-1.0000000000000002,0.4254210297433204,1.1396910141357122,0.8553048903253764,-0.9961365757951609,0.0,-1.0036282776537417,0.5167160375172701,23.000478575064335,closed_form,0.03,0.03,1e-10,3000,,0.001,50,cuda:1,1,-2.824359258729845,2.824359258729845,-1.7290248161741817,-2.8231280534010796,25621.51327178273,19.114707574180528,3.418267149291128,0.029926278478071038,0.17682020971889603,0.030222098494451347,0.1769633285867815,0.1384
14,Primal AlgaeDICE,16000,0.3,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.8174392737254355,2.0036769549247998e-17,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,2.748506962499439e-18,0.052379203277154965,0.03002228087964903,-0.9316624829622374,0.97,-0.9285019885030028,0.04199347425149876,20.280341082951054,closed_form,0.03,0.03,1e-10,3000,,0.001,50,cuda:5,1,-0.5075529671241479,0.5075529671241479,-0.3607305659602419,-0.5074169167654246,9381.460999391813,54.21372643879572,0.6700892686117279,0.028917214241429023,0.08029696882842269,0.02893127158463728,0.08033881004060603,0.1180625
15,Primal AlgaeDICE,20000,0.3,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.811858720623536,2.0054723889557454e-17,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,2.748506962499439e-18,0.05151554882906355,0.030205248686222732,-0.9314226927223562,0.97,-0.9288949087673989,0.0422508236635271,20.47478658001637,closed_form,0.03,0.03,1e-10,3000,,0.001,50,cuda:6,1,-0.5082703650036866,0.5082703650036866,-0.36151822592331073,-0.5081308551742284,9379.103238079353,54.4652084022169,0.6710647847726579,0.02892238388254212,0.08060298393625541,0.0289390704401362,0.08064499430344879,0.11875000000000001
9,Primal AlgaeDICE,16000,0.1,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.5570381682470642,0.8636980085569199,0.6468180626188853,-0.9948462247926807,0.0,-1.0000000000000002,0.4254210297433204,1.154512952509022,0.8672466052509614,-0.9958305306254422,0.0,-1.0033025835552636,0.5176680517650984,28.112220619048458,closed_form,0.03,0.03,1e-10,3000,,0.001,50,cuda:0,1,-2.711899520366943,2.711899520366943,-1.685269904523013,-2.7106186625308983,24803.412160522013,19.7409436747649,3.1444408746742774,0.029922300206775554,0.181028888915211,0.030248295462877144,0.1811744876800688,0.13825
18,Primal AlgaeDICE,12000,0.5,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,2.4536641856344126,0.003538880296617543,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,2.748506962499439e-18,0.05617468107682442,0.031807032405183656,-0.937738474046634,0.94,-0.9328256043104097,0.044383378230691224,19.152918829000555,closed_form,0.03,0.03,1e-10,3000,,0.001,50,cuda:1,1,-0.4277608405326906,0.4277608405326906,-0.2907857850440177,-0.4276072803862764,9060.513076275274,55.51386051894856,0.5943719789637152,0.02901418336177448,0.05301836738236191,0.0291048230145916,0.05304978808569984,0.08083333333333333
17,Primal AlgaeDICE,8000,0.5,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,2.4305859087854067,0.027279022469301972,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,2.748506962499439e-18,0.06067609584541774,0.03139728153603876,-0.9355320704553975,0.94,-0.9320360649028429,0.043811927939170214,20.775080491031986,closed_form,0.03,0.03,1e-10,3000,,0.001,50,cuda:0,1,-0.42895629340205677,0.42895629340205677,-0.2919423697613917,-0.4287923307241914,9061.455544098852,52.41776401521761,0.5946419996230656,0.029004809908999497,0.05370785207576821,0.029112402543006878,0.05373547935569727,0.079125
19,Primal AlgaeDICE,16000,0.5,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,2.423485578823807,2.0902662079470867e-17,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,2.748506962499439e-18,0.028358372148947538,0.015295454796969043,-0.8995791490668914,0.98,-0.8949772291812715,0.019912536199169564,19.724846616969444,closed_form,0.03,0.03,1e-10,3000,,0.001,50,cuda:2,1,-0.144698402715661,0.144698402715661,-0.13823664689197732,-0.14468019296571868,1966.2470964364625,61.504161338801914,0.05753617361660153,0.028570960183619206,0.04152547577184049,0.028577207301992282,0.041532141829192154,0.0824375
20,Primal AlgaeDICE,20000,0.5,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,2.4240280261735037,2.117579441134807e-17,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,2.748506962499439e-18,0.027937580032091566,0.015274779650848043,-0.8994355694693532,0.98,-0.8949202243437819,0.01989485046103142,19.82728278299328,closed_form,0.03,0.03,1e-10,3000,,0.001,50,cuda:3,1,-0.14476567453570457,0.14476567453570457,-0.13833068775169924,-0.1447476944151694,1962.1936698710724,61.482495545801235,0.0577700603216941,0.028570170489666192,0.041616946917159996,0.028575908525315722,0.04162381521720814,0.0813
