run_idx,algorithm,dataset_size,epsilon,proportions,proportion_key,reset_mode,extra_terminal_steps,seed,status,error,feature_coverage,greedy_on_data_quality,greedy_optimal_states_quality,greedy_avg_reward,greedy_success_rate,greedy_v_x0,greedy_v_gap,solver_on_data_quality,solver_optimal_states_quality,solver_avg_reward,solver_success_rate,solver_v_x0,solver_v_gap,elapsed_seconds
24,FQI,16000,0.7,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,11.720105525743826,0.1775524807248085,0.0950349597795928,-0.9948462247926807,0.0,-1.0000000000000002,0.12408113367513512,0.1775524807248085,0.0950349597795928,-0.9948462247926807,0.0,-1.0000000000000002,0.12408113367513512,16.568102922057733
25,FQI,20000,0.7,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,11.783005548024825,0.1790802034199807,0.0950349597795928,-0.9948462247926807,0.0,-1.0000000000000002,0.12408113367513512,0.1790802034199807,0.0950349597795928,-0.9948462247926807,0.0,-1.0000000000000002,0.12408113367513512,18.065983111970127
26,FQI,4000,0.0,80% optimal-eps / 20% random,80_20,custom_x0,3,42,ok,,1.73025019797144,0.3772022520739623,0.3060135800966488,-0.9948462247926807,0.0,-1.0000000000000002,0.30133989606818523,0.3772022520739623,0.3060135800966488,-0.9948462247926807,0.0,-1.0000000000000002,0.30133989606818523,12.669064638903365
27,FQI,8000,0.0,80% optimal-eps / 20% random,80_20,custom_x0,3,42,ok,,1.7232813882204403,0.37495645607770633,0.3060135800966488,-0.9948462247926807,0.0,-1.0000000000000002,0.30133989606818523,0.37495645607770633,0.3060135800966488,-0.9948462247926807,0.0,-1.0000000000000002,0.30133989606818523,13.986572440946475
28,FQI,12000,0.0,80% optimal-eps / 20% random,80_20,custom_x0,3,42,ok,,1.7799914848833318,0.36744082442094733,0.3060135800966488,-0.9948462247926807,0.0,-1.0000000000000002,0.30133989606818523,0.36744082442094733,0.3060135800966488,-0.9948462247926807,0.0,-1.0000000000000002,0.30133989606818523,15.32422820222564
29,FQI,16000,0.0,80% optimal-eps / 20% random,80_20,custom_x0,3,42,ok,,1.750753471705161,0.3706508126722929,0.3060135800966488,-0.9948462247926807,0.0,-1.0000000000000002,0.30133989606818523,0.3706508126722929,0.3060135800966488,-0.9948462247926807,0.0,-1.0000000000000002,0.30133989606818523,16.764760475838557
30,FQI,20000,0.0,80% optimal-eps / 20% random,80_20,custom_x0,3,42,ok,,1.7377031755237973,0.3708986046684459,0.3060135800966488,-0.9948462247926807,0.0,-1.0000000000000002,0.30133989606818523,0.3708986046684459,0.3060135800966488,-0.9948462247926807,0.0,-1.0000000000000002,0.30133989606818523,18.153237434104085
31,FQI,4000,0.1,80% optimal-eps / 20% random,80_20,custom_x0,3,42,ok,,1.9229657827324562,1.0106571355168215,0.8768630591308996,-0.9948462247926807,0.0,-1.0000000000000002,0.4318556349370276,1.0106571355168215,0.8768630591308996,-0.9948462247926807,0.0,-1.0000000000000002,0.4318556349370276,12.588838292984292
32,FQI,8000,0.1,80% optimal-eps / 20% random,80_20,custom_x0,3,42,ok,,1.8696299886698773,1.1997702139083366,1.0100938822579453,-0.9948462247926807,0.0,-1.0000000000000002,0.5059764424911013,1.1997702139083366,1.0100938822579453,-0.9948462247926807,0.0,-1.0000000000000002,0.5059764424911013,14.041304656071588
33,FQI,12000,0.1,80% optimal-eps / 20% random,80_20,custom_x0,3,42,ok,,1.8429557418278057,0.1335251648010633,0.0707413917106819,-0.9948462247926807,0.0,-1.0000000000000002,0.0886293811965251,0.1335251648010633,0.0707413917106819,-0.9948462247926807,0.0,-1.0000000000000002,0.0886293811965251,15.212102081859484
34,FQI,16000,0.1,80% optimal-eps / 20% random,80_20,custom_x0,3,42,ok,,1.8099135657385241,0.12825503982978503,0.0707413917106819,-0.9948462247926807,0.0,-1.0000000000000002,0.08862938119652508,0.12825503982978503,0.0707413917106819,-0.9948462247926807,0.0,-1.0000000000000002,0.08862938119652508,16.687426005955786
35,FQI,20000,0.1,80% optimal-eps / 20% random,80_20,custom_x0,3,42,ok,,1.8001717380106677,0.1265374149248313,0.0707413917106819,-0.9948462247926807,0.0,-1.0000000000000002,0.08862938119652508,0.1265374149248313,0.0707413917106819,-0.9948462247926807,0.0,-1.0000000000000002,0.08862938119652508,18.12111504818313
36,FQI,4000,0.3,80% optimal-eps / 20% random,80_20,custom_x0,3,42,ok,,2.0388274508447135,0.3511822910949973,0.2744865702354111,-0.9948462247926807,0.0,-1.0000000000000002,0.28361401982888024,0.3511822910949973,0.2744865702354111,-0.9948462247926807,0.0,-1.0000000000000002,0.28361401982888024,12.660339864902198
37,FQI,8000,0.3,80% optimal-eps / 20% random,80_20,custom_x0,3,42,ok,,2.108485777209344,0.34988795790859123,0.2744865702354112,-0.9948462247926807,0.0,-1.0000000000000002,0.28361401982888024,0.34988795790859123,0.2744865702354112,-0.9948462247926807,0.0,-1.0000000000000002,0.28361401982888024,13.846190619980916
38,FQI,12000,0.3,80% optimal-eps / 20% random,80_20,custom_x0,3,42,ok,,2.1035420502565616,0.126216553379228,0.0707413917106819,-0.9948462247926807,0.0,-1.0000000000000002,0.08862938119652508,0.126216553379228,0.0707413917106819,-0.9948462247926807,0.0,-1.0000000000000002,0.08862938119652508,15.28291330812499
39,FQI,16000,0.3,80% optimal-eps / 20% random,80_20,custom_x0,3,42,ok,,2.0868004400864506,0.12495250998760313,0.0707413917106819,-0.9948462247926807,0.0,-1.0000000000000002,0.08862938119652508,0.12495250998760313,0.0707413917106819,-0.9948462247926807,0.0,-1.0000000000000002,0.08862938119652508,16.761792324017733
40,FQI,20000,0.3,80% optimal-eps / 20% random,80_20,custom_x0,3,42,ok,,2.127579191425682,0.12171803629957564,0.05953573893597081,-0.9948462247926807,0.0,-1.0000000000000002,0.07090350495722005,0.12171803629957564,0.05953573893597081,-0.9948462247926807,0.0,-1.0000000000000002,0.07090350495722005,18.07754088495858
41,FQI,4000,0.5,80% optimal-eps / 20% random,80_20,custom_x0,3,42,ok,,3.0738284274151164,0.30573288662618364,0.08250222096864587,-0.9948462247926807,0.0,-1.0000000000000002,0.1063552574358301,0.30573288662618364,0.08250222096864587,-0.9948462247926807,0.0,-1.0000000000000002,0.1063552574358301,12.734828224871308
