problem,ablation,policy_optimizer,policy_gradient,alpha,eta,rho,T,theta_lambda,theta_lr,theta_inner_steps,reinforce_samples,fisher_damping,cg_iters,cg_tol,count,ok_count,failed_count,elapsed_seconds_mean,solver_success_rate_best,solver_success_rate_mean,solver_success_rate_std,solver_success_rate_sem,solver_success_rate_ci95,greedy_success_rate_best,greedy_success_rate_mean,greedy_success_rate_std,greedy_success_rate_sem,greedy_success_rate_ci95,solver_avg_reward_best,solver_avg_reward_mean,solver_avg_reward_std,solver_avg_reward_sem,solver_avg_reward_ci95,greedy_avg_reward_best,greedy_avg_reward_mean,greedy_avg_reward_std,greedy_avg_reward_sem,greedy_avg_reward_ci95
deterministic,npg_exact_alpha_fisher,npg,exact,0.01,0.0001,0.03,3000,1e-07,0.001,10,4,0.0003,50,1e-10,5,5,0,400.5269210500061,0.99,0.99,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.8852000000000001,0.8852,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16,0.9300000000000002,0.93,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
deterministic,npg_exact_alpha_fisher,npg,exact,0.03,0.0001,0.03,3000,1e-07,0.001,10,4,0.01,50,1e-10,5,5,0,252.59685461214977,0.99,0.99,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9031000000000001,0.9031,1.1102230246251565e-16,4.965068306494546e-17,9.731533880729309e-17,0.9300000000000002,0.93,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
deterministic,npg_exact_alpha_fisher,npg,exact,0.01,0.0001,0.03,3000,1e-07,0.001,10,4,0.001,50,1e-10,5,5,0,365.6699127754429,0.96,0.96,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.8499000000000001,0.8499000000000001,0.0,0.0,0.0,0.9300000000000002,0.93,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
deterministic,npg_exact_alpha_fisher,npg,exact,0.01,0.0001,0.03,3000,1e-07,0.001,10,4,0.003,50,1e-10,5,5,0,307.6274730734178,0.94,0.9399999999999998,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16,1.0,1.0,0.0,0.0,0.0,0.8194,0.8194000000000001,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16,0.9300000000000002,0.93,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
deterministic,npg_exact_alpha_fisher,npg,exact,0.01,0.0001,0.03,3000,1e-07,0.001,10,4,0.01,50,1e-10,5,5,0,257.55170038342476,0.75,0.75,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5981,0.5981,0.0,0.0,0.0,0.9300000000000002,0.93,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
deterministic,npg_exact_alpha_fisher,npg,exact,0.003,0.0001,0.03,3000,1e-07,0.001,10,4,1e-05,50,1e-10,5,5,0,401.71201514640126,0.43,0.43,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.2536999999999999,0.2536999999999999,0.0,0.0,0.0,0.9300000000000002,0.93,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
deterministic,npg_exact_alpha_fisher,npg,exact,0.003,0.0001,0.03,3000,1e-07,0.001,10,4,1e-06,50,1e-10,5,5,0,402.9077180327498,0.42,0.42000000000000004,6.206335383118183e-17,2.7755575615628914e-17,5.440092820663267e-17,1.0,1.0,0.0,0.0,0.0,0.24319999999999997,0.24319999999999994,3.925231146709438e-17,1.7554167342883506e-17,3.440616799205167e-17,0.9300000000000002,0.93,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
deterministic,npg_exact_alpha_fisher,npg,exact,0.003,0.0001,0.03,3000,1e-07,0.001,10,4,3e-06,50,1e-10,5,5,0,401.29532576940255,0.41,0.41,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.23259999999999995,0.23259999999999992,3.1031676915590914e-17,1.3877787807814457e-17,2.7200464103316335e-17,0.9300000000000002,0.93,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
deterministic,npg_exact_alpha_fisher,npg,exact,0.003,0.0001,0.03,3000,1e-07,0.001,10,4,3e-05,50,1e-10,5,5,0,411.35656900319736,0.4,0.4,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.22229999999999997,0.22229999999999994,3.925231146709438e-17,1.7554167342883506e-17,3.440616799205167e-17,0.9300000000000002,0.93,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
deterministic,npg_exact_alpha_fisher,npg,exact,0.003,0.0001,0.03,3000,1e-07,0.001,10,4,0.0001,50,1e-10,5,5,0,398.5105772591778,0.4,0.4,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.2219,0.2219,0.0,0.0,0.0,0.9300000000000002,0.93,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
